scenario_id,route_id,lot_id,dong,path_order,route_lat,route_lon,approval,drone_t,time_saving,co2_saving,hub_rank
S001,R000034,206-2-000020,판교동,1,37.38545,127.11199,True,1.11,23.89,1075.0,1
S001,R000034,206-2-000020,판교동,2,37.3828,127.0999,True,1.11,23.89,1075.0,1
S001,R000035,206-2-000020,백현동,1,37.38545,127.11199,True,0.82,24.18,1088.1,1
S001,R000035,206-2-000020,백현동,2,37.38671,127.10284,True,0.82,24.18,1088.1,1
S001,R000036,206-2-000020,수내1동,1,37.38545,127.11199,True,0.57,24.43,1099.3,1
S001,R000036,206-2-000020,수내1동,2,37.38473,127.1184,True,0.57,24.43,1099.3,1
S001,R000037,206-2-000020,판교동,1,37.38545,127.11199,True,1.08,23.92,1076.4,1
S001,R000037,206-2-000020,판교동,2,37.38845,127.10037,True,1.08,23.92,1076.4,1
S001,R000038,206-2-000020,백현동,1,37.38545,127.11199,True,1.03,23.97,1078.6,1
S001,R000038,206-2-000020,백현동,2,37.39344,127.10603,True,1.03,23.97,1078.6,1
S001,R000039,206-2-000020,수내1동,1,37.38545,127.11199,True,0.88,24.12,1085.4,1
S001,R000039,206-2-000020,수내1동,2,37.37908,127.11792,True,0.88,24.12,1085.4,1
S001,R000040,206-2-000020,수내1동,1,37.38545,127.11199,True,0.87,24.13,1085.8,1
S001,R000040,206-2-000020,수내1동,2,37.378,127.11521,True,0.87,24.13,1085.8,1
S001,R000041,206-2-000020,백현동,1,37.38545,127.11199,True,1.13,23.87,1074.2,1
S001,R000041,206-2-000020,백현동,2,37.39495,127.11664,True,1.13,23.87,1074.2,1
S001,R000042,206-2-000020,판교동,1,37.38545,127.11199,True,1.05,23.95,1077.8,1
S001,R000042,206-2-000020,판교동,2,37.38563,127.10013,True,1.05,23.95,1077.8,1
S001,R000043,206-2-000020,정자1동,1,37.38545,127.11199,True,1.08,23.92,1076.4,1
S001,R000043,206-2-000020,정자1동,2,37.37584,127.10979,True,1.08,23.92,1076.4,1
S001,R000044,206-2-000020,백현동,1,37.38545,127.11199,True,0.95,24.05,1082.2,1
S001,R000044,206-2-000020,백현동,2,37.39387,127.11393,True,0.95,24.05,1082.2,1
S001,R000045,206-2-000020,수내1동,1,37.38545,127.11199,True,0.6,24.4,1098.0,1
S001,R000045,206-2-000020,수내1동,2,37.38083,127.11545,True,0.6,24.4,1098.0,1
S001,R000046,206-2-000020,백현동,1,37.38545,127.11199,True,0.33,24.67,1110.2,1
S001,R000046,206-2-000020,백현동,2,37.38822,127.11345,True,0.33,24.67,1110.2,1
S001,R000047,206-2-000020,서현1동,1,37.38545,127.11199,True,0.81,24.19,1088.5,1
S001,R000047,206-2-000020,서현1동,2,37.38582,127.12111,True,0.81,24.19,1088.5,1
S001,R000048,206-2-000020,백현동,1,37.38545,127.11199,True,1.13,23.87,1074.2,1
S001,R000048,206-2-000020,백현동,2,37.39561,127.11145,True,1.13,23.87,1074.2,1
S001,R000049,206-2-000020,백현동,1,37.38545,127.11199,True,0.56,24.44,1099.8,1
S001,R000049,206-2-000020,백현동,2,37.3893,127.11616,True,0.56,24.44,1099.8,1
S001,R000050,206-2-000020,백현동,1,37.38545,127.11199,True,0.79,24.21,1089.5,1
S001,R000050,206-2-000020,백현동,2,37.39062,127.10579,True,0.79,24.21,1089.5,1
S001,R000051,206-2-000020,서현1동,1,37.38545,127.11199,True,1.11,23.89,1075.0,1
S001,R000051,206-2-000020,서현1동,2,37.38125,127.12334,True,1.11,23.89,1075.0,1
S001,R000052,206-2-000020,서현1동,1,37.38545,127.11199,True,1.04,23.96,1078.2,1
S001,R000052,206-2-000020,서현1동,2,37.38407,127.12358,True,1.04,23.96,1078.2,1
S001,R000053,206-2-000020,수내1동,1,37.38545,127.11199,True,0.33,24.67,1110.2,1
S001,R000053,206-2-000020,수내1동,2,37.38257,127.11297,True,0.33,24.67,1110.2,1
S001,R000054,206-2-000020,수내1동,1,37.38545,127.11199,True,1.14,23.86,1073.7,1
S001,R000054,206-2-000020,수내1동,2,37.37626,127.11768,True,1.14,23.86,1073.7,1
S001,R000055,206-2-000020,판교동,1,37.38545,127.11199,True,0.98,24.02,1080.9,1
S001,R000055,206-2-000020,판교동,2,37.38106,127.10237,True,0.98,24.02,1080.9,1
S001,R000056,206-2-000020,서현1동,1,37.38545,127.11199,True,0.9,24.1,1084.5,1
S001,R000056,206-2-000020,서현1동,2,37.38864,127.12135,True,0.9,24.1,1084.5,1
S001,R000057,206-2-000020,백현동,1,37.38545,127.11199,True,0.45,24.55,1104.8,1
S001,R000057,206-2-000020,백현동,2,37.38323,127.10779,True,0.45,24.55,1104.8,1
S001,R000058,206-2-000020,백현동,1,37.38545,127.11199,True,0.63,24.37,1096.7,1
S001,R000058,206-2-000020,백현동,2,37.38779,127.10556,True,0.63,24.37,1096.7,1
S001,R000059,206-2-000020,백현동,1,37.38545,127.11199,True,0.5,24.5,1102.5,1
S001,R000059,206-2-000020,백현동,2,37.38888,127.10827,True,0.5,24.5,1102.5,1
S001,R000060,206-2-000020,수내1동,1,37.38545,127.11199,True,0.77,24.23,1090.3,1
S001,R000060,206-2-000020,수내1동,2,37.37866,127.11003,True,0.77,24.23,1090.3,1
S001,R000061,206-2-000009,정자3동,1,37.35086,127.10686,False,1.01,23.99,1079.5,2
S001,R000061,206-2-000009,정자3동,2,37.35823,127.11354,False,1.01,23.99,1079.5,2
S001,R000062,206-2-000009,구미동,1,37.35086,127.10686,False,0.99,24.01,1080.5,2
S001,R000062,206-2-000009,구미동,2,37.34195,127.10694,False,0.99,24.01,1080.5,2
S001,R000063,206-2-000009,구미동,1,37.35086,127.10686,False,0.9,24.1,1084.5,2
S001,R000063,206-2-000009,구미동,2,37.34303,127.10965,False,0.9,24.1,1084.5,2
S001,R000064,206-2-000009,금곡동,1,37.35086,127.10686,False,0.39,24.61,1107.5,2
