chart_id,rank,label,GU_NM,value1,value2,value3,category
esg,3,맛고을,,0.395,13.0,,
esg,4,분당도서관 부설주차장,,0.3256,13.0,,
esg,5,분당구청 부설주차장,,0.316,13.0,,
esg,6,운중동공영주차장,,0.291,14.0,,
dong_zone_pct,1,구미1동,분당구,80.4,41.0,,드론우선
dong_zone_pct,2,구미동,분당구,74.5,38.0,,드론우선
dong_zone_pct,3,정자3동,분당구,63.0,17.0,,드론우선
dong_zone_pct,4,금곡동,분당구,33.8,27.0,,드론우선
dong_zone_pct,5,운중동,분당구,32.8,79.0,,드론우선
dong_zone_pct,6,수내3동,분당구,25.0,4.0,,드론우선
dong_zone_pct,7,정자1동,분당구,16.7,3.0,,드론우선
dong_zone_pct,8,분당동,분당구,12.5,6.0,,드론우선
dong_zone_pct,9,정자동,분당구,6.2,1.0,,드론우선
b2b,1,수내1동,분당구,1.0,14.0,,
b2b,2,신흥3동,수정구,0.9612,5.0,,
b2b,3,태평4동,수정구,0.9432,5.0,,
b2b,4,야탑1동,분당구,0.863,16.0,,
b2b,5,태평3동,수정구,0.7251,4.0,,
b2b,6,정자1동,분당구,0.7037,18.0,,
b2b,7,신흥1동,수정구,0.6404,4.0,,
b2b,8,성남동,중원구,0.4751,28.0,,
b2b,9,상대원3동,중원구,0.4556,5.0,,
b2b,10,수진1동,수정구,0.4429,5.0,,
b2b,11,서현2동,분당구,0.4263,11.0,,
b2b,12,야탑2동,분당구,0.3802,9.0,,
b2b,13,금광1동,중원구,0.3558,8.0,,
b2b,14,태평2동,수정구,0.3465,7.0,,
b2b,15,정자동,분당구,0.3205,16.0,,
b2c,1,수내1동,분당구,0.8726,14.0,,
b2c,2,태평4동,수정구,0.6898,5.0,,
b2c,3,야탑1동,분당구,0.5053,16.0,,
b2c,4,신흥3동,수정구,0.4127,5.0,,
b2c,5,정자1동,분당구,0.3912,18.0,,
b2c,6,태평3동,수정구,0.2639,4.0,,
b2c,7,신흥1동,수정구,0.241,4.0,,
b2c,8,성남동,중원구,0.2269,28.0,,
b2c,9,수진1동,수정구,0.188,5.0,,
b2c,10,상대원3동,중원구,0.1779,5.0,,
b2c,11,정자동,분당구,0.1756,16.0,,
b2c,12,서현2동,분당구,0.1732,11.0,,
b2c,13,삼평동,분당구,0.1706,39.0,,
b2c,14,백현동,분당구,0.1696,27.0,,
b2c,15,금광1동,중원구,0.1577,8.0,,
robot,1,수내2동,분당구,0.8181,2.0,,
robot,2,정자동,분당구,0.8169,2.0,,
robot,3,수내1동,분당구,0.8158,2.0,,
robot,4,야탑1동,분당구,0.7844,2.0,,
