name,type,facility_weight,lat,lon,h3_index,ADM_NM,GU_NM,zone,composite_v3,Ds_v3,Ra,dist_to_grid_m,vtp_score,dist_to_hub_m,near_hub
nan,공영주차장,1.0,37.364024,127.113954,8930e15366bffff,정자동,분당구,일반,0.0985,0.1949,0.6568,17.0,0.4685,755.0,True
nan,공영주차장,1.0,37.364154,127.112983,8930e15366bffff,정자동,분당구,일반,0.0985,0.1949,0.6568,97.0,0.4685,714.0,True
nan,공영주차장,1.0,37.364593,127.113985,8930e15366bffff,정자동,분당구,일반,0.0985,0.1949,0.6568,79.0,0.4685,806.0,True
nan,공영주차장,1.0,37.367974,127.110747,8930e153673ffff,정자동,분당구,일반,0.0982,0.1949,0.655,106.0,0.4684,1032.0,True
nan,공영주차장,1.0,37.440556,127.121375,8930e1c99a7ffff,태평1동,수정구,일반,0.0944,0.1997,0.6296,93.0,0.4683,3264.0,False
nan,공영주차장,1.0,37.365616,127.113921,8930e153663ffff,정자동,분당구,일반,0.0976,0.1949,0.6509,125.0,0.4683,895.0,True
nan,공영주차장,1.0,37.367974,127.11395,8930e153663ffff,정자동,분당구,일반,0.0976,0.1949,0.6509,144.0,0.4683,1124.0,True
nan,공영주차장,1.0,37.366626,127.113905,8930e153663ffff,정자동,분당구,일반,0.0976,0.1949,0.6509,32.0,0.4683,990.0,True
낙생대공원 체육시설,공원,0.7,37.386086,127.104235,8930e026927ffff,백현동,분당구,로봇전용,0.0956,0.2946,0.637,141.0,0.4676,1236.0,True
nan,공영주차장,1.0,37.405621,127.14196,8930e1522cbffff,야탑3동,분당구,일반,0.0567,0.2482,0.3779,131.0,0.4666,1766.0,False
nan,공영주차장,1.0,37.440576,127.12624,8930e1524c3ffff,태평1동,수정구,일반,0.0879,0.1997,0.5858,131.0,0.4663,3273.0,False
nan,공영주차장,1.0,37.441865,127.126696,8930e1524d7ffff,태평1동,수정구,일반,0.0875,0.1997,0.5834,88.0,0.4662,3337.0,False
태평동 제1 공영주차장,공영주차장,1.0,37.447118,127.129213,8930e152483ffff,태평1동,수정구,일반,0.0875,0.1997,0.5831,104.0,0.4662,2716.0,False
나들이공원,공원,0.7,37.394871,127.11773,8930e153433ffff,백현동,분당구,로봇전용,0.0905,0.2946,0.603,97.0,0.4661,561.0,True
nan,학교,0.6,37.471735,127.138168,8930e1c897bffff,위례동,수정구,로봇전용,0.1057,0.4708,0.7049,75.0,0.4659,610.0,True
nan,공영주차장,1.0,37.415815,127.150993,8930e1522b3ffff,도촌동,중원구,일반,0.0761,0.2121,0.507,116.0,0.4652,2502.0,False
숲안어린이공원,공원,0.7,37.388981,127.115918,8930e153477ffff,백현동,분당구,로봇전용,0.0843,0.2946,0.5621,42.0,0.4642,521.0,True
은행2동 제 9 공영주차장,공영주차장,1.0,37.456631,127.169793,8930e1cd213ffff,은행2동,중원구,일반,0.0848,0.1931,0.5657,65.0,0.4641,1905.0,False
nan,공영주차장,1.0,37.457364,127.168435,8930e1cd213ffff,은행2동,중원구,일반,0.0848,0.1931,0.5657,83.0,0.4641,2045.0,False
nan,공영주차장,1.0,37.459015,127.171221,8930e1cd217ffff,은행2동,중원구,일반,0.0847,0.1931,0.5646,133.0,0.464,2043.0,False
nan,공원,0.7,37.39462,127.107645,8930e153413ffff,백현동,분당구,로봇전용,0.0831,0.2946,0.5542,97.0,0.4639,354.0,True
모자이크파크,공원,0.7,37.394615,127.108971,8930e153413ffff,백현동,분당구,로봇전용,0.0831,0.2946,0.5542,23.0,0.4639,246.0,True
정자목어린이공원,공원,0.7,37.384935,127.110553,8930e15344fffff,백현동,분당구,로봇전용,0.083,0.2946,0.5532,70.0,0.4638,693.0,True
nan,공영주차장,1.0,37.459446,127.169561,8930e1cd28fffff,은행2동,중원구,일반,0.0814,0.1931,0.5427,31.0,0.463,2165.0,False
nan,공영주차장,1.0,37.459271,127.170314,8930e1cd28fffff,은행2동,중원구,일반,0.0814,0.1931,0.5427,96.0,0.463,2111.0,False
위례한빛중학교,학교,0.6,37.467808,127.148766,8930e1cd6c7ffff,위례동,수정구,로봇전용,0.0959,0.4708,0.6392,29.0,0.4629,443.0,True
위례한빛고등학교,학교,0.6,37.467072,127.150024,8930e1cd6c7ffff,위례동,수정구,로봇전용,0.0959,0.4708,0.6392,131.0,0.4629,571.0,True
nan,공영주차장,1.0,37.461623,127.170325,8930e1cd287ffff,은행2동,중원구,일반,0.0801,0.1931,0.5343,117.0,0.4627,2332.0,False
nan,공영주차장,1.0,37.462786,127.168043,8930e1cd287ffff,은행2동,중원구,일반,0.0801,0.1931,0.5343,140.0,0.4627,2231.0,False
은행동제10공영주차장,공영주차장,1.0,37.457587,127.165839,8930e1cd28bffff,은행2동,중원구,일반,0.0781,0.1931,0.5208,130.0,0.4621,2220.0,False
nan,공영주차장,1.0,37.454509,127.16499,8930e1cd2c3ffff,은행2동,중원구,일반,0.0783,0.1931,0.522,119.0,0.4621,2054.0,False
nan,공영주차장,1.0,37.454914,127.163201,8930e1cd2c3ffff,은행2동,중원구,일반,0.0783,0.1931,0.522,49.0,0.4621,2208.0,False
nan,공영주차장,1.0,37.453816,127.163836,8930e1cd2c3ffff,은행2동,중원구,일반,0.0783,0.1931,0.522,96.0,0.4621,2094.0,False
nan,공영주차장,1.0,37.423296,127.173713,8930e1523a7ffff,도촌동,중원구,일반,0.0638,0.2121,0.425,36.0,0.4615,2419.0,False
양지주차장,공영주차장,1.0,37.457415,127.163183,8930e1cd2d7ffff,은행2동,중원구,일반,0.076,0.1931,0.5068,64.0,0.4614,2112.0,False
신흥1동 공영주차장,공영주차장,1.0,37.438822,127.139503,8930e15243bffff,신흥1동,수정구,일반,0.0915,0.1696,0.6102,83.0,0.4614,3334.0,False
nan,공영주차장,1.0,37.460454,127.170722,8930e1cd2bbffff,은행2동,중원구,일반,0.0757,0.1931,0.5047,122.0,0.4613,2202.0,False
위례고운초등학교,학교,0.6,37.471273,127.146009,8930e1cd69bffff,위례동,수정구,로봇전용,0.0903,0.4708,0.6022,155.0,0.4613,353.0,True
nan,공영주차장,1.0,37.460919,127.171474,8930e1cd2bbffff,은행2동,중원구,일반,0.0757,0.1931,0.5047,55.0,0.4613,2213.0,False
nan,공영주차장,1.0,37.440922,127.139929,8930e152423ffff,신흥1동,수정구,일반,0.0911,0.1696,0.6074,149.0,0.4613,3098.0,False
nan,공영주차장,1.0,37.460444,127.171189,8930e1cd2bbffff,은행2동,중원구,일반,0.0757,0.1931,0.5047,84.0,0.4613,2180.0,False
nan,공영주차장,1.0,37.461395,127.171852,8930e1cd2bbffff,은행2동,중원구,일반,0.0757,0.1931,0.5047,74.0,0.4613,2244.0,False
nan,학교,0.6,37.375113,127.116185,8930e153633ffff,수내1동,분당구,로봇전용,0.0971,0.4597,0.6476,107.0,0.4611,1087.0,True
nan,공영주차장,1.0,37.408156,127.067091,8930e1c932fffff,시흥동,수정구,일반,0.0751,0.1912,0.5008,80.0,0.4608,4160.0,False
nan,공영주차장,1.0,37.408679,127.068946,8930e1c932fffff,시흥동,수정구,일반,0.0751,0.1912,0.5008,97.0,0.4608,4026.0,False
nan,공영주차장,1.0,37.408389,127.068734,8930e1c932fffff,시흥동,수정구,일반,0.0751,0.1912,0.5008,68.0,0.4608,4032.0,False
nan,공영주차장,1.0,37.408211,127.06882,8930e1c932fffff,시흥동,수정구,일반,0.0751,0.1912,0.5008,74.0,0.4608,4018.0,False
nan,공영주차장,1.0,37.408786,127.067316,8930e1c932fffff,시흥동,수정구,일반,0.0751,0.1912,0.5008,83.0,0.4608,4165.0,False
nan,공영주차장,1.0,37.408198,127.066598,8930e1c932fffff,시흥동,수정구,일반,0.0751,0.1912,0.5008,123.0,0.4608,4202.0,False
nan,공영주차장,1.0,37.408302,127.066825,8930e1c932fffff,시흥동,수정구,일반,0.0751,0.1912,0.5008,103.0,0.4608,4187.0,False
nan,공영주차장,1.0,37.40763,127.06822,8930e1c932fffff,시흥동,수정구,일반,0.0751,0.1912,0.5008,73.0,0.4608,4046.0,False
nan,학교,0.6,37.376682,127.117891,8930e153637ffff,수내1동,분당구,로봇전용,0.0956,0.4597,0.6373,51.0,0.4606,896.0,True
nan,공영주차장,1.0,37.433246,127.124139,8930e1c9927ffff,수진2동,수정구,일반,0.086,0.1737,0.5734,112.0,0.4605,2448.0,False
nan,공영주차장,1.0,37.433218,127.124751,8930e1c9927ffff,수진2동,수정구,일반,0.086,0.1737,0.5734,78.0,0.4605,2447.0,False
위례푸른초등학교,학교,0.6,37.470494,127.15108,8930e1cd68bffff,위례동,수정구,로봇전용,0.0875,0.4708,0.5836,162.0,0.4604,672.0,True
위례중앙초등학교,학교,0.6,37.47182,127.13606,8930e1c894fffff,위례동,수정구,로봇전용,0.0868,0.4708,0.5788,91.0,0.4602,775.0,True
수진제3 공영 주차장,공영주차장,1.0,37.438138,127.133307,8930e15240bffff,수진2동,수정구,일반,0.0848,0.1737,0.5654,116.0,0.4602,3120.0,False
nan,공영주차장,1.0,37.435732,127.132494,8930e15240bffff,수진2동,수정구,일반,0.0848,0.1737,0.5654,168.0,0.4602,2843.0,False
nan,공영주차장,1.0,37.398232,127.126014,8930e1535cfffff,이매1동,분당구,일반,0.1065,0.141,0.7099,110.0,0.4601,1319.0,True
nan,공영주차장,1.0,37.407857,127.065326,8930e1c932bffff,시흥동,수정구,일반,0.0715,0.1912,0.4764,76.0,0.4597,4296.0,False
nan,공영주차장,1.0,37.407523,127.066673,8930e1c932bffff,시흥동,수정구,일반,0.0715,0.1912,0.4764,129.0,0.4597,4172.0,False
nan,공영주차장,1.0,37.40814,127.065944,8930e1c932bffff,시흥동,수정구,일반,0.0715,0.1912,0.4764,122.0,0.4597,4255.0,False
nan,공영주차장,1.0,37.437161,127.12634,8930e1524cbffff,수진2동,수정구,일반,0.0819,0.1737,0.546,99.0,0.4593,2895.0,False
nan,공영주차장,1.0,37.40946,127.066758,8930e1c9323ffff,시흥동,수정구,일반,0.069,0.1912,0.4602,125.0,0.459,4238.0,False
