target_h3_index,assigned_lot_id,assigned_lot_name,target_ADM_NM,target_GU_NM,Ds,delivery_zone,drone_time_min,route_mean_constraint_score,airspace_approval_required,drone_direct_feasible_strict,robot_handoff_feasible
8930e1c9b2bffff,206-2-000003,야탑 제2환승,야탑1동,분당구,0.7196853984687459,부적합,0.6975261367882494,0.7618515526579258,True,False,True
8930e1c9b2fffff,206-2-000003,야탑 제2환승,야탑1동,분당구,0.7196853984687459,부적합,0.4382760815617715,0.7480948244063222,True,False,True
8930e1c9b33ffff,206-2-000003,야탑 제2환승,야탑1동,분당구,0.7196853984687459,부적합,0.9325323830252804,0.8134837499836556,True,False,True
8930e1c9b37ffff,206-2-000003,야탑 제2환승,야탑1동,분당구,0.7196853984687459,부적합,0.7758528723639877,0.7389118773954982,True,False,True
8930e1c9b3bffff,206-2-000003,야탑 제2환승,야탑1동,분당구,0.7196853984687459,부적합,0.8936946358634612,0.8114496750006878,True,False,True
8930e1c9b63ffff,206-2-000003,야탑 제2환승,삼평동,분당구,0.458371381575248,부적합,1.1175364858350338,0.7151575170454321,True,False,True
8930e1c9b67ffff,206-2-000003,야탑 제2환승,야탑2동,분당구,0.3576010326362412,부적합,0.8513993939954404,0.7157481292375146,True,False,True
8930e1c9b6fffff,206-2-000003,야탑 제2환승,이매2동,분당구,0.2137759853405574,부적합,1.077296658003629,0.6638055866321326,True,False,True
8930e1c9b77ffff,206-2-000003,야탑 제2환승,삼평동,분당구,0.458371381575248,부적합,0.9618298703261638,0.7351014632325679,True,False,True
8930e1c9bafffff,206-2-000003,야탑 제2환승,시흥동,수정구,0.2292619362013324,부적합,1.066726284343342,0.7562779471631709,True,False,True
