h3_index,lat,lon,CSV_ADMI_CD,ADM_NM,GU_NM,delivery_demand_index,flow_pop_index,urgency,score_airspace,score_obstacle,score_noise,score_terrain,score_weather,composite_score,tall_bldg_count,total_bldg_count,avg_slope,terrain_zone,Hr,Fp,Cc,Od,Ds_v2,Ec,Od_v2,Ds_v3
8930e026bd3ffff,37.36675589276759,127.08022181744565,41135662,금곡동,분당구,0.2716677734571954,0.3057914029293038,0.2853172252460388,0.0,1.0,1.0,1.0,0.8,0.0,0,0,,Unknown,0.3961154169390232,0.2918124336158817,0.2716677734571954,0.2716677734571954,0.3140382315414153,0.25752783048142525,0.40624280561737397,0.3241668825882624
8930e1c886fffff,37.463841436072734,127.12507589676277,41131620,복정동,수정구,0.1169695747533441,0.1752065572430349,0.1402643677492204,0.0,0.825,0.9040109701748372,1.0,0.8,0.0,2,58,,Unknown,0.3983565225511252,0.1664261426881347,0.1169695747533441,0.1169695747533441,0.2137498010763761,0.20376448742136508,0.21293454071061316,0.22896135271694207
8930e026147ffff,37.37658046372363,127.03655686346973,41135680,운중동,분당구,0.2059581325868684,0.3036603248464614,0.2450390094907056,1.0,1.0,1.0,1.0,0.8,0.8,0,0,,Unknown,0.2067419927164067,0.2916803098533317,0.2059581325868684,0.2059581325868684,0.2276238349423457,0.2209674265773783,0.3438914895249789,0.2469903954113642
8930e1cd2d3ffff,37.45641046090719,127.16118555252768,41131610,양지동,수정구,0.0413673771528296,0.0497798714423575,0.0447323748686408,0.0,0.7375,0.5032051282051282,1.0,0.8,0.0,3,468,,Unknown,0.1411896535624241,0.0466749071445191,0.0413673771528296,0.0413673771528296,0.0726409425736303,0.0028229364954274177,0.06031770393676617,0.06251811313967617
8930e1504d3ffff,37.39705993114108,127.15613982582153,41135640,야탑3동,분당구,0.0952964136419912,0.2491020055222445,0.1568186503940925,0.0,1.0,1.0,1.0,0.8,0.0,0,0,,Unknown,0.469978522737884,0.232590439514758,0.0952964136419912,0.0952964136419912,0.2420245528389508,0.26880613857527175,0.07553142506331056,0.2481629427903718
8930e15222bffff,37.40553751411011,127.15686006281588,41135640,야탑3동,분당구,0.0952964136419912,0.2491020055222445,0.1568186503940925,0.0,0.9125,0.8577305450805621,1.0,0.8,0.0,1,84,,Unknown,0.469978522737884,0.232590439514758,0.0952964136419912,0.0952964136419912,0.2420245528389508,0.26880613857527175,0.07553142506331056,0.2481629427903718
8930e1530d7ffff,37.382990567838,127.12087035141458,41135580,서현1동,분당구,0.9968130393916228,0.6447023797590359,0.855968775538588,0.0,0.3,0.914295509084676,1.0,0.8,0.0,8,58,,Unknown,0.3879914090951536,0.6379679208477442,0.9968130393916228,0.9968130393916228,0.7244552706667124,0.6063353609372737,0.898837387767631,0.6800467246742612
8930e024d73ffff,37.34867601506679,127.110120500582,41135665,구미1동,분당구,0.3151374004709809,0.2235613294144668,0.2785069720483753,1.0,0.3,0.6623243057936234,1.0,0.8,0.1589578333904696,11,208,,Unknown,0.2080493043234662,0.2212685070153227,0.3151374004709809,0.3151374004709809,0.2595437482628119,0.35778522681970787,0.27309876448469034,0.27181536761477243
8930e1535bbffff,37.40601352022807,127.13067775661544,41135630,야탑2동,분당구,0.092904324994784,0.0682464174281091,0.083041161968114,0.0,1.0,0.8405896468974974,1.0,0.8,0.0,0,93,,Unknown,0.1182183210383789,0.0652205241249644,0.092904324994784,0.092904324994784,0.0935775735904075,0.08941652771142734,0.32405417849742923,0.12767098240044425
8930e15311bffff,37.387080066041214,127.1448046487148,41135580,서현1동,분당구,0.9968130393916228,0.6447023797590359,0.855968775538588,0.0,1.0,1.0,1.0,0.8,0.0,0,0,,Unknown,0.3879914090951536,0.6379679208477442,0.9968130393916228,0.9968130393916228,0.7244552706667124,0.6063353609372737,0.898837387767631,0.6800467246742612
8930e024db7ffff,37.36279709496519,127.11130932489549,41135545,정자동,분당구,0.143609808465298,0.2071475318499021,0.1690248978191396,0.0,1.0,0.7685978745286252,1.0,0.8,0.0,0,135,,Unknown,0.2173872443738911,0.2080913249989688,0.143609808465298,0.143609808465298,0.1818634183712936,0.08688979074333712,0.3520834932085028,0.19487751991626898
8930e1cd28fffff,37.45966205397769,127.16933833149513,41133560,은행2동,중원구,0.1344689082617625,0.1276370413956344,0.1317361615153112,0.0,0.9125,0.6606102159753169,1.0,0.8,0.0,1,199,,Unknown,0.4359884209543375,0.1219760661493637,0.1344689082617625,0.1344689082617625,0.2218015515414353,0.03199287240438351,0.176137671705932,0.19310532535757613
8930e026103ffff,37.38222590788924,127.03702562586774,41135680,운중동,분당구,0.2059581325868684,0.3036603248464614,0.2450390094907056,1.0,1.0,1.0,1.0,0.8,0.8,0,0,,Unknown,0.2067419927164067,0.2916803098533317,0.2059581325868684,0.2059581325868684,0.2276238349423457,0.2209674265773783,0.3438914895249789,0.2469903954113642
8930e1c9bbbffff,37.41820792457048,127.11335731158952,41131650,시흥동,수정구,0.1287571319758471,0.268369406110957,0.1846020416298911,0.0,1.0,0.921151868357902,1.0,0.8,0.0,0,46,,Unknown,0.0966476795218974,0.261308367454804,0.1287571319758471,0.1287571319758471,0.1522621051094014,0.3081515232711472,0.1828140587829023,0.19122743323826935
8930e152123ffff,37.43572767662649,127.17779871436096,41133570,상대원1동,중원구,0.1464882246035055,0.317823978552547,0.2150225261831221,0.0,0.3,0.7960233116215288,1.0,0.8,0.0,13,132,,Unknown,0.5088243533476515,0.2910084552227944,0.1464882246035055,0.1464882246035055,0.2913191208815715,0.9372439985935205,0.653576087790653,0.5001906371894749
8930e15226fffff,37.39988575263096,127.15637988331638,41135640,야탑3동,분당구,0.0952964136419912,0.2491020055222445,0.1568186503940925,0.0,1.0,1.0,1.0,0.8,0.0,0,0,,Unknown,0.469978522737884,0.232590439514758,0.0952964136419912,0.0952964136419912,0.2420245528389508,0.26880613857527175,0.07553142506331056,0.2481629427903718
8930e152607ffff,37.4212237101072,127.1345863785804,41133670,도촌동,중원구,0.1258360805453779,0.2006614114125326,0.1557662128922398,0.0,0.9125,0.8628728145354816,1.0,0.8,0.0,1,81,,Unknown,0.282659445326361,0.1929170348690428,0.1258360805453779,0.1258360805453779,0.189653328560589,0.1745603382005516,0.2850510321540941,0.21208520687769883
8930e1534b3ffff,37.401258467321504,127.11192901771744,41135655,삼평동,분당구,0.4465934301776538,1.0,0.6679560581065923,0.0,0.3,0.9057250599931436,1.0,0.8,0.0,14,69,,Unknown,0.184330936595387,1.0,0.4465934301776538,0.4465934301776538,0.5062663245585604,1.0,0.7124932852428824,0.6422754129708099
8930e1cd66bffff,37.45815315879157,127.15870878648512,41131590,단대동,수정구,0.0417256679489965,0.0842084357904579,0.0587187750855811,0.0,0.825,0.5034129692832765,1.0,0.8,0.0,2,293,,Unknown,0.2040339901017835,0.0763800928065665,0.0417256679489965,0.0417256679489965,0.0990817708092251,0.016356809422715248,0.09003530043741846,0.09140630662671428
8930e0269c3ffff,37.38478110471105,127.08434956056377,41135680,운중동,분당구,0.2059581325868684,0.3036603248464614,0.2450390094907056,0.0,1.0,0.9794309221803222,1.0,0.8,0.0,0,12,,Unknown,0.2067419927164067,0.2916803098533317,0.2059581325868684,0.2059581325868684,0.2276238349423457,0.2209674265773783,0.3438914895249789,0.2469903954113642
