ADM_NM,GU_NM,CSV_ADMI_CD,area_km2,avg_total_corp,weighted_corp,corporate_density_per_km2,weighted_corp_density_per_km2,Ec,top_industry,total_merchant_count,delivery_related_merchant_count,delivery_merchant_ratio,Od_merchant,corporate_context_note
신흥1동,수정구,41131510,0.3225959541536096,69.94444444444444,81.65555555555555,216.81748808027268,253.12020967465034,0.11656240963116479,C 제조업(10~34),12202045,9429398,0.7727719410967587,0.03621540672396036,aggregated over 36 months
신흥2동,수정구,41131520,1.140282780387949,173.5,194.2527777777778,152.1552398966961,170.35491644597911,0.07218855547802057,C 제조업(10~34),15559387,12536007,0.8056877176459458,0.05110348907891306,aggregated over 36 months
신흥3동,수정구,41131530,0.3211585702617296,119.75,142.2888888888889,372.8687666731397,443.0487057310348,0.21839083377806898,C 제조업(10~34),18151721,13009690,0.7167193678219271,0.05337356281981224,aggregated over 36 months
태평1동,수정구,41131540,1.341075285343263,180.66666666666666,193.68333333333334,134.71776613974586,144.42390777767406,0.05828588260870389,C 제조업(10~34),14234028,11974992,0.8412932727124044,0.04841488632189929,aggregated over 36 months
태평2동,수정구,41131550,0.48225441119626894,108.86111111111111,118.88055555555555,225.73377989653386,246.510042822964,0.11301842919730985,C 제조업(10~34),9517232,7016339,0.737224751902654,0.024651086553845687,aggregated over 36 months
태평3동,수정구,41131560,0.37111837895891076,87.41666666666667,88.425,235.54927921353422,238.26629187176468,0.10859861760584144,C 제조업(10~34),13280257,11749471,0.8847322005891904,0.04733410170408247,aggregated over 36 months
태평4동,수정구,41131561,0.4042626538804674,48.47222222222222,44.833333333333336,119.90279526674883,110.90149659629375,0.04031314879001912,"N 사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",13007411,12351383,0.9495650594880103,0.050218698840842936,aggregated over 36 months
수진1동,수정구,41131570,0.3331617228335518,121.66666666666667,142.66111111111113,365.18801029088075,428.20378613057204,0.2104318660565858,C 제조업(10~34),9583705,7392687,0.7713809012276568,0.026454693000013112,aggregated over 36 months
수진2동,수정구,41131580,0.9238754933726689,225.33333333333334,239.2472222222222,243.90010878060963,258.9604594325089,0.11969360606464009,C 제조업(10~34),16464755,12485225,0.7583000779543941,0.050860121922586266,aggregated over 36 months
단대동,수정구,41131590,0.8024787268811651,84.47222222222223,83.83611111111111,105.26412650279673,104.47144366921762,0.03686573478769389,C 제조업(10~34),7443184,6195002,0.8323053682402585,0.020714919209590333,aggregated over 36 months
산성동,수정구,41131600,0.5845304310750409,27.11111111111111,26.03611111111111,46.38100887450741,44.54192583819241,0.0047350725262214335,G 도매 및 소매업(45~47),4813577,3976201,0.826038723385956,0.010081559164199562,aggregated over 36 months
양지동,수정구,41131610,1.259359097319708,41.55555555555556,44.78611111111111,32.997383862949164,35.562621659246616,0.0,C 제조업(10~34),7706451,6385526,0.828594900557987,0.021627984549514027,aggregated over 36 months
