name,facility,address,lat,lon,capacity,idle_score,terrain_zone,avg_slope,delivery_mode,new_covered,total_covered,coverage_pct
오리환승,주차장,경기도 성남시 분당구 구미로9번길,37.339711,127.109411,75,1.0,Unknown,,드론 직배송만 가능,10,10,0.10989010989010989
금곡동,주차장,경기도 성남시 분당구 정자일로6번길,37.350862,127.106861,82,1.0,Unknown,,드론 직배송만 가능,7,17,0.18681318681318682
분당도서관 부설주차장,주차장,경기도 성남시 분당구 불정로 110,37.358104,127.11658,186,1.0,Unknown,,드론 직배송만 가능,2,19,0.2087912087912088
구미도서관,주차장,경기도 성남시 분당구 미금일로 105,37.345532,127.107689,71,1.0,Unknown,,드론 직배송만 가능,1,20,0.21978021978021978
