hub_name,n_routes,avg_distance,avg_flight_time,avg_total_time,max_distance
구미도서관,5,734.7,0.7,0.7,1352.2
금곡동,5,1029.6,1.0,1.0,1588.0
분당도서관 부설주차장,5,1246.4,1.2,1.2,2228.2
오리환승,5,819.9,0.8,0.8,1617.2
