h3_index,lat,lon,CSV_ADMI_CD,ADM_NM,GU_NM,Ds,demand_grade,score_airspace,score_obstacle,score_noise_proxy,score_terrain,score_robot,score_weather,constraint_score,constraint_grade,drone_score,robot_score,service_priority_score,delivery_zone,high_demand_flag,priority_zone,zone_reason,airspace_data_status,airspace_proxy_flag,airspace_proxy_caution_flag,hard_exclusion_flag
8930e153013ffff,37.38233020706954,127.12605539248389,41135580,서현1동,분당구,0.46286517016966955,A,0.0,0.0,0.8985618777355586,1.0,0.44864336397600035,0.944093,0.6206126078209172,D,0.43147013777355586,0.44864336397600035,0.4490325475922959,부적합,True,False,공식 hard exclusion 또는 운용성 부족,official_vworld_wfs_관제권,False,False,True
8930e024cafffff,37.3506584595111,127.09457861724037,41135662,금곡동,분당구,0.3352825633228366,B,1.0,0.96875,0.9890337165119523,0.6,0.22340227880684768,0.944093,0.737530874122275,C,0.9027048216511953,0.22340227880684768,0.5115042968345643,드론우선,True,True,"드론 적합, 로봇 접근성 낮음",official_vworld_wfs_관제권,False,False,False
8930e1c912fffff,37.42802870440284,127.06963671397119,41131640,고등동,수정구,0.24694815124964348,C,0.0,0.96875,0.7103073445240728,1.0,0.3270036275073107,0.944093,0.8046949322558844,A,0.6548321844524072,0.3270036275073107,0.40571865812214425,부적합,False,False,공식 hard exclusion 또는 운용성 부족,official_vworld_wfs_관제권,False,False,True
8930e15264bffff,37.410581221462095,127.12844226527524,41135620,야탑1동,분당구,0.7196853984687459,A,0.0,0.28125,0.8044346111298157,1.0,0.7267047812461198,0.944093,0.7254127610704878,C,0.49236991111298156,0.7267047812461198,0.6415288544497032,부적합,True,False,공식 hard exclusion 또는 운용성 부족,official_vworld_wfs_관제권,False,False,True
8930e026a07ffff,37.358944371347825,127.07433365787281,41135665,구미1동,분당구,0.34185927345280975,B,1.0,0.96875,0.9981722860853254,0.6,0.21982733035010965,0.944093,0.738574053081644,C,0.9036186786085325,0.21982733035010965,0.5140686766367727,드론우선,True,True,"드론 적합, 로봇 접근성 낮음",official_vworld_wfs_관제권,False,False,False
8930e152167ffff,37.43007419579828,127.17731637013138,41133570,상대원1동,중원구,0.2265850361917555,D,0.0,0.96875,0.855610600740705,1.0,0.2555018495734135,0.944093,0.8185327094338972,A,0.6693625100740704,0.2555018495734135,0.3873405147268973,부적합,False,False,공식 hard exclusion 또는 운용성 부족,official_vworld_wfs_관제권,False,False,True
8930e152543ffff,37.440769995523176,127.14935863000278,41133525,중앙동,중원구,0.30288367892621654,C,0.0,0.84375,0.05215928720792795,1.0,0.29414683295534283,0.944093,0.6438815225306133,D,0.5577673787207927,0.29414683295534283,0.3903456046601435,부적합,False,False,공식 hard exclusion 또는 운용성 부족,official_vworld_wfs_관제권,False,False,True
8930e1c8b43ffff,37.452965135326025,127.13202658543788,41131620,복정동,수정구,0.2465699214638441,C,0.0,0.96875,0.8309364628925977,0.6,0.6990217654491403,0.944093,0.7970662928140758,A,0.5868950962892597,0.6990217654491403,0.45617410144979886,부적합,False,False,공식 hard exclusion 또는 운용성 부족,official_vworld_wfs_관제권,False,False,True
8930e1c9027ffff,37.42326253384161,127.05090721245168,41131640,고등동,수정구,0.24694815124964348,C,0.0,0.96875,1.0,0.6,0.3403749278549029,0.944093,0.7615194239727943,B,0.60380145,0.3403749278549029,0.3905321611333201,부적합,False,False,공식 hard exclusion 또는 운용성 부족,official_vworld_wfs_관제권,False,False,True
8930e1c9ed3ffff,37.41847259449854,127.0662190043511,41131650,시흥동,수정구,0.2292619362013324,D,0.0,0.96875,1.0,0.6,0.2945365802140299,0.944093,0.7529247337901306,B,0.60380145,0.2945365802140299,0.3734056948334055,부적합,False,False,공식 hard exclusion 또는 운용성 부족,official_vworld_wfs_관제권,False,False,True
8930e15243bffff,37.43926153164376,127.13873646801775,41131510,신흥1동,수정구,0.4619442280384485,A,0.0,0.96875,0.017391628600727183,0.6,0.4549997055210363,0.944093,0.5987725001478306,D,0.5055406128600727,0.4549997055210363,0.47581405822253453,부적합,True,False,공식 hard exclusion 또는 운용성 부족,official_vworld_wfs_관제권,False,False,True
8930e152e03ffff,37.423098048176065,127.1872205690562,41133670,도촌동,중원구,0.2853938536924451,C,0.0,0.96875,0.9972584291279881,0.6,0.24266274149782296,0.944093,0.7426843444923396,B,0.6035272929127988,0.24266274149782296,0.3881943349806445,부적합,False,False,공식 hard exclusion 또는 운용성 부족,official_vworld_wfs_관제권,False,False,True
8930e1c8a3bffff,37.45145410700295,127.12140625144573,41131540,태평1동,수정구,0.327805441111458,B,0.0,0.96875,0.9077004473089317,0.6,0.3895158115420343,0.944093,0.753427173534556,B,0.5945714947308931,0.3895158115420343,0.43351563396437554,부적합,True,False,공식 hard exclusion 또는 운용성 부족,official_vworld_wfs_관제권,False,False,True
