month,admi_nm,tot_cnt,avg_inc,avg_card,high_ratio,avg_dist
202412,고등동,1190,4488.235294117647,3331.09243697479,0.39915966386554624,13886.965546218487
202412,구미1동,992,4807.459677419355,2741.935483870968,0.4324596774193548,17668.542338709678
202412,구미동,1732,4617.7829099307155,3225.1732101616626,0.37471131639722866,18570.25635103926
202412,금곡동,1747,5180.309101316543,3179.7366914710933,0.45220377790497995,16841.471665712652
202412,금광1동,2204,3726.4065335753176,2243.1941923774953,0.2735934664246824,16332.68557168784
202412,금광2동,1329,3565.838976674191,2531.226486079759,0.2310007524454477,15069.037622272384
202412,단대동,816,3939.950980392157,2368.872549019608,0.2757352941176471,12930.54411764706
202412,도촌동,1690,4646.745562130178,3086.390532544379,0.3467455621301775,13345.031360946745
202412,백현동,1761,5756.388415672913,3690.5167518455423,0.4792731402612152,14449.281658148779
202412,복정동,1294,3887.9443585780527,2061.0510046367854,0.23183925811437403,14931.76970633694
202412,분당동,1117,4930.170098478066,3051.9247985675916,0.37690241718889883,18566.31423455685
202412,산성동,149,3328.8590604026845,1832.2147651006712,0.20134228187919462,12196.630872483222
202412,삼평동,2306,5630.962705984389,3597.1379011274935,0.5117085862966175,11348.928881179532
202412,상대원1동,1602,3669.16354556804,2293.383270911361,0.22409488139825218,9983.304619225968
202412,상대원2동,153,3281.045751633987,2810.4575163398695,0.23529411764705882,6956.607843137255
202412,상대원3동,283,3070.6713780918726,2406.3604240282684,0.13780918727915195,10413.81625441696
202412,서현1동,2191,5066.636239160201,3277.4988589685076,0.4450022820629849,15342.776814240073
202412,서현2동,568,4843.30985915493,3103.8732394366198,0.426056338028169,14469.415492957747
202412,성남동,3053,3501.4739600393054,2395.6763838847037,0.23059285948247626,13743.545365214542
202412,수내1동,1218,5335.796387520525,3548.440065681445,0.4425287356321839,15010.04105090312
202412,수내2동,256,7273.4375,5066.40625,0.671875,19833.61328125
202412,수내3동,419,5656.3245823389025,3758.9498806682577,0.4343675417661098,18060.663484486875
202412,수진1동,520,3044.230769230769,2153.846153846154,0.12115384615384615,12955.253846153846
202412,수진2동,963,3389.4080996884736,2096.5732087227416,0.22118380062305296,13039.767393561786
202412,시흥동,554,5303.249097472924,3263.537906137184,0.4332129963898917,11275.43321299639
202412,신촌동,185,4221.621621621622,3162.162162162162,0.3567567567567568,19241.118918918917
202412,신흥1동,550,3309.090909090909,2418.181818181818,0.17636363636363636,12880.512727272728
202412,신흥2동,6369,4450.620191552834,2944.4182760244935,0.3827916470403517,17110.91034699325
202412,신흥3동,644,3352.4844720496894,2344.7204968944097,0.18478260869565216,12201.635093167703
202412,야탑1동,1103,4244.786944696283,2899.3653671804173,0.34904805077062556,12056.111514052584
202412,야탑2동,533,5136.960600375234,3553.470919324578,0.41088180112570355,11784.660412757974
202412,야탑3동,1703,4133.294186729301,2241.338813857898,0.2959483264826776,12350.624779800351
202412,양지동,403,3200.9925558312657,2086.848635235732,0.18858560794044665,10025.106699751861
202412,운중동,2538,5641.0559495665875,3882.978723404255,0.49645390070921985,19639.210401891254
202412,위례동,4901,4881.452764741889,3417.873903285044,0.4015507039379718,17343.06733319731
202412,은행1동,370,3154.054054054054,2627.027027027027,0.22162162162162163,17577.37837837838
202412,은행2동,1208,3278.1456953642382,1991.7218543046358,0.1912251655629139,17197.764072847684
202412,이매1동,1111,5217.821782178218,3277.227722772277,0.4527452745274527,18923.758775877588
202412,이매2동,359,5348.189415041783,3743.732590529248,0.5069637883008357,18661.551532033427
