hour_code,hour_label,is_lunch_peak,is_dinner_peak,is_late_night,drone_wt_sum,moto_wt_sum,dw_total,n_routes,avg_drone_min,avg_moto_min,time_saving_min,time_saving_pct,period
01,00:00~06:59,False,False,True,3.9140606463980845,11.02032917806282,0.7739473429616834,77,5.057269957695121,14.23912011363855,9.18185015594343,64.48326920951278,심야
02,07:00~08:59,False,False,False,2.71203305068957,7.2095215085613065,0.5458255013993683,77,4.9686814627322375,13.208473202658704,8.239791739926467,62.382620712497626,일반
03,09:00~10:59,False,False,False,8.151030138552844,20.979010689106513,1.6594145679448211,77,4.911991431199658,12.642416846496015,7.730425415296358,61.14673728258636,일반
04,11:00~12:59,True,False,False,23.10047072401231,58.226308887362215,4.718538281339804,77,4.895683651728912,12.339903888801167,7.444220237072256,60.326403707472224,점심피크
05,13:00~14:59,True,False,False,24.20581158811287,61.24218203853201,4.948405157893377,77,4.89163898584604,12.376145461905525,7.484506476059485,60.47526266637071,점심피크
06,15:00~16:59,False,False,False,19.717161535663713,50.42013343162265,4.034454609379954,77,4.8871937956178915,12.497385226344536,7.610191430726644,60.89426942432992,일반
07,17:00~18:59,False,True,False,24.03165816373772,62.33864853793359,4.8933303266162955,77,4.911104822215313,12.739513659818739,7.828408837603426,61.44982490418563,저녁피크
08,19:00~20:59,False,True,False,24.229954112967253,63.70515662557368,4.9024119980189775,77,4.942455697880629,12.994655824789183,8.052200126908554,61.96547438792352,저녁피크
09,21:00~22:59,False,False,False,10.785327461967448,28.97247451322588,2.1662706748242124,77,4.978753388166809,13.374355684142254,8.395602295975443,62.77388230320483,일반
10,23:00~23:59,False,False,True,2.2343577675451622,6.084269728663335,0.44607692205562266,77,5.008906888185876,13.639507958909089,8.630601070723213,63.27648399578707,심야
