assigned_lot_id,assigned_lot_name,target_h3_index,target_ADM_NM,target_GU_NM,Ds,esg_index,esg_tier,_score_carbon,_score_time,_score_demand,_score_reliability
206-3-000004,분당도서관 부설주차장,8830e02499fffff,구미1동,분당구,0.3418592734528097,0.3707517821891727,중(Mid),0.5564014412636459,0.371426987546539,0.3067455473707199,0.0
206-3-000004,분당도서관 부설주차장,8830e024d1fffff,금곡동,분당구,0.3352825633228366,0.3835403210819251,중(Mid),0.5442272807560024,0.3590959393841861,0.29740340596479964,0.15177788758759475
206-3-000004,분당도서관 부설주차장,8830e024d3fffff,금곡동,분당구,0.3352825633228366,0.39639141663531796,중(Mid),0.597306343828062,0.3828484168306078,0.29740340596479964,0.05817826340042402
206-3-000004,분당도서관 부설주차장,8830e024d7fffff,구미1동,분당구,0.3418592734528097,0.40059034026532003,중(Mid),0.6480847214702325,0.364996730414659,0.3067455473707199,0.0
206-3-000004,분당도서관 부설주차장,8830e024d9fffff,금곡동,분당구,0.3352825633228366,0.25864305634580365,하(Low),0.432233473195095,0.08703071883803505,0.29740340596479964,0.21526718826325458
206-3-000004,분당도서관 부설주차장,8830e024dbfffff,정자3동,분당구,0.2978596732733048,0.30648324605532296,하(Low),0.21049563538010224,0.32229946578808694,0.24424461931437416,0.5557884516620042
206-2-000022,운중동공영주차장,8830e02683fffff,판교동,분당구,0.2981632220459188,0.3065068165137216,하(Low),0.5300646001146945,0.11199176890971488,0.24467580686883686,0.30057144216568554
206-2-000022,운중동공영주차장,8830e02689fffff,운중동,분당구,0.3436518582823575,0.2771763737196671,하(Low),0.40606235706565963,0.08035330888981428,0.3092918935877169,0.40358071064729123
206-2-000022,운중동공영주차장,8830e0268bfffff,운중동,분당구,0.3436518582823575,0.39639556154890737,중(Mid),0.45289115267135976,0.39657722967690273,0.3092918935877169,0.3512522912590531
206-2-000022,운중동공영주차장,8830e02691fffff,판교동,분당구,0.2981632220459188,0.3091225505103845,하(Low),0.5165886568002973,0.10855345938160096,0.24467580686883686,0.3574762587759638
206-2-000022,운중동공영주차장,8830e02699fffff,판교동,분당구,0.2981632220459188,0.2982843761302675,하(Low),0.363626885698624,0.32848019483201557,0.24467580686883686,0.1289701794281208
206-2-000022,운중동공영주차장,8830e0269dfffff,운중동,분당구,0.3436518582823575,0.23319879803388288,하(Low),0.3120270339240106,0.056360736348210955,0.3092918935877169,0.3857952960029855
206-2-000022,운중동공영주차장,8830e026c3fffff,운중동,분당구,0.3436518582823575,0.4070620552375633,중(Mid),0.554351080316285,0.36034856637037443,0.3092918935877169,0.2701559657271663
206-2-000022,운중동공영주차장,8830e026d1fffff,운중동,분당구,0.3436518582823575,0.19590357919532278,하(Low),0.2675718757847601,0.045018258108435426,0.3092918935877169,0.26735498863031204
206-2-000022,운중동공영주차장,8830e026d3fffff,시흥동,수정구,0.2292619362013324,0.17643148587928464,하(Low),0.3120699720711509,0.056371691769808406,0.14680231956455597,0.16971037066843656
206-2-000022,운중동공영주차장,8830e026d5fffff,운중동,분당구,0.3436518582823575,0.3245329114822001,하(Low),0.29344593216326614,0.35815260260989334,0.3092918935877169,0.33386426848957834
206-2-000022,운중동공영주차장,8830e026d7fffff,운중동,분당구,0.3436518582823575,0.18457858450046616,하(Low),0.03567566907847941,0.29050414559176424,0.3092918935877169,0.16014576885148893
206-2-000022,운중동공영주차장,8830e026dbfffff,시흥동,수정구,0.2292619362013324,0.28757532673858943,하(Low),0.5370175024591939,0.11376576200403117,0.14680231956455597,0.2518722416118483
206-2-000022,운중동공영주차장,8830e026ddfffff,운중동,분당구,0.3436518582823575,0.2732488173976441,하(Low),0.4235754855204286,0.084821683016083,0.3092918935877169,0.326106829144717
204-2-000018,태평4동 제1,8830e15209fffff,성남동,중원구,0.5129422940779669,0.7089980122494484,상(High),0.6546913356475735,0.7961391765711553,0.5497670184779964,0.7916152013412922
206-2-000004,맛고을,8830e15229fffff,도촌동,중원구,0.2853938536924451,0.4314582597984487,중(Mid),0.5327292211364515,0.37791792103518707,0.2265370653909724,0.5250080015315292
206-2-000004,맛고을,8830e1522dfffff,야탑3동,분당구,0.2899265421066042,0.3638645877180076,중(Mid),0.4325865606137672,0.3319948940346988,0.23297569736306814,0.408764826577229
204-2-000018,태평4동 제1,8830e15241fffff,수진1동,수정구,0.3742992232065798,0.5092986614069616,중(Mid),0.4533256689443299,0.6227781012914414,0.35282612440869676,0.5315894877542471
204-2-000018,태평4동 제1,8830e15243fffff,신흥1동,수정구,0.4619442280384485,0.43027300948970115,중(Mid),0.26420622356297335,0.4893583701462631,0.47732484983225903,0.6328444947775305
