YY,MT,DE,ROAD_KIND,ROAD_KIND_CD,ROUTE_NM,ROUTE_CD,UPNDW_DIV,UPNDW_CD,BGPT_LOC,LASTSTOP_LOC,TM01_SPEED,TM02_SPEED,TM03_SPEED,TM04_SPEED,TM05_SPEED,TM06_SPEED,TM07_SPEED,TM08_SPEED,TM09_SPEED,TM10_SPEED,TM11_SPEED,TM12_SPEED,TM13_SPEED,TM14_SPEED,TM15_SPEED,TM16_SPEED,TM17_SPEED,TM18_SPEED,TM19_SPEED,TM20_SPEED,TM21_SPEED,TM22_SPEED,TM23_SPEED,TM24_SPEED,DAY1_AVG_SPEED,source_total_count
2026,03,16,일반국도,2,일반국도1호선,1,하행,2,장안구청사거리,창룡문사거리,25,29,26,27,27,23,21,12,7,6,17,26,25,21,0,0,0,0,0,0,0,0,0,0,20,385467
2026,03,16,일반국도,2,일반국도1호선,1,상행,1,장안구청사거리,북수원IC,32,33,36,34,34,30,30,19,26,30,31,30,30,30,0,0,0,0,0,0,0,0,0,0,29,385467
2026,03,16,일반국도,2,일반국도1호선,1,하행,2,북수원IC,장안구청사거리,35,35,38,36,31,31,29,28,25,26,29,33,33,31,0,0,0,0,0,0,0,0,0,0,31,385467
2026,03,16,일반국도,2,일반국도1호선,1,상행,1,북수원IC,고천사거리,53,54,54,55,55,52,48,28,15,24,39,45,48,45,0,0,0,0,0,0,0,0,0,0,41,385467
2026,03,16,일반국도,2,일반국도1호선,1,하행,2,고천사거리,북수원IC,59,58,57,60,60,62,55,54,54,54,52,52,51,55,0,0,0,0,0,0,0,0,0,0,54,385467
2026,03,16,일반국도,2,일반국도1호선,1,상행,1,고천사거리,오전동사거리,41,38,40,41,39,39,35,23,13,16,22,28,30,28,0,0,0,0,0,0,0,0,0,0,27,385467
2026,03,16,일반국도,2,일반국도1호선,1,하행,2,오전동사거리,고천사거리,40,44,44,43,46,44,33,24,21,24,22,25,27,28,0,0,0,0,0,0,0,0,0,0,28,385467
2026,03,16,일반국도,2,일반국도1호선,1,하행,2,호계사거리,오전동사거리,28,26,26,26,28,24,21,14,13,16,17,19,21,21,0,0,0,0,0,0,0,0,0,0,20,385467
2026,03,16,일반국도,2,일반국도1호선,1,상행,1,오전동사거리,호계사거리,31,28,34,32,34,30,26,21,17,15,17,21,22,20,0,0,0,0,0,0,0,0,0,0,21,385467
2026,03,16,일반국도,2,일반국도1호선,1,상행,1,호계사거리,신기사거리,31,29,34,35,33,31,27,24,20,24,25,25,26,26,0,0,0,0,0,0,0,0,0,0,26,385467
2026,03,16,일반국도,2,일반국도1호선,1,하행,2,신기사거리,호계사거리,31,36,39,42,40,35,28,26,27,24,28,26,28,29,0,0,0,0,0,0,0,0,0,0,29,385467
2026,03,16,일반국도,2,일반국도1호선,1,상행,1,신기사거리,박달우회도로,32,31,33,32,32,28,27,27,22,23,25,25,27,25,0,0,0,0,0,0,0,0,0,0,26,385467
2026,03,16,일반국도,2,일반국도1호선,1,하행,2,박달우회도로,신기사거리,32,29,30,34,33,29,26,23,15,19,22,23,25,25,0,0,0,0,0,0,0,0,0,0,24,385467
2026,03,16,일반국도,2,일반국도1호선,1,상행,1,박달우회도로,안양육교삼거리,33,34,37,37,37,32,27,21,17,25,27,27,27,26,0,0,0,0,0,0,0,0,0,0,27,385467
2026,03,16,일반국도,2,일반국도1호선,1,하행,2,여우고개사거리,문산사거리,32,33,31,32,29,21,25,28,22,26,26,26,27,27,0,0,0,0,0,0,0,0,0,0,27,385467
2026,03,16,일반국도,2,일반국도1호선,1,상행,1,문산사거리,여우고개사거리,33,34,34,41,41,29,27,27,24,27,30,27,28,27,0,0,0,0,0,0,0,0,0,0,28,385467
2026,03,16,일반국도,2,일반국도1호선,1,하행,2,구파발사거리,구산역,26,26,29,26,26,29,26,22,20,20,19,22,21,21,0,0,0,0,0,0,0,0,0,0,22,385467
2026,03,16,일반국도,2,일반국도1호선,1,상행,1,구산역,구파발사거리,29,30,30,28,28,30,26,22,16,19,19,20,20,20,0,0,0,0,0,0,0,0,0,0,21,385467
2026,03,16,고속국도,1,경부고속도로,1,하행,2,동탄JC,오산IC,98,98,96,97,98,91,72,42,73,81,60,75,85,86,0,0,0,0,0,0,0,0,0,0,79,385467
2026,03,16,고속국도,1,경부고속도로,1,상행,1,동탄JC,기흥동탄IC,101,99,97,94,97,97,96,88,56,93,94,92,91,31,0,0,0,0,0,0,0,0,0,0,76,385467
2026,03,16,고속국도,1,경부고속도로,1,상행,1,기흥동탄IC,기흥IC,100,95,93,94,95,92,88,79,87,90,89,83,78,44,0,0,0,0,0,0,0,0,0,0,76,385467
2026,03,16,고속국도,1,경부고속도로,1,하행,2,기흥IC,동탄JC,104,102,102,103,102,99,91,97,98,93,92,93,91,93,0,0,0,0,0,0,0,0,0,0,94,385467
2026,03,16,고속국도,1,경부고속도로,1,상행,1,동탄JC,기흥IC,100,97,95,93,96,95,92,83,64,91,91,87,83,25,0,0,0,0,0,0,0,0,0,0,72,385467
2026,03,16,고속국도,1,경부고속도로,1,하행,2,안성IC,북천안IC,100,98,95,96,98,98,90,91,90,87,83,84,89,90,0,0,0,0,0,0,0,0,0,0,89,385467
2026,03,16,고속국도,1,경부고속도로,1,상행,1,입장휴게소,안성IC,101,98,97,93,97,97,95,92,66,92,92,92,91,90,0,0,0,0,0,0,0,0,0,0,90,385467
2026,03,16,고속국도,1,경부고속도로,1,하행,2,양재IC,만남의광장,89,92,88,88,87,84,80,79,82,76,82,82,76,80,0,0,0,0,0,0,0,0,0,0,80,385467
2026,03,16,고속국도,1,경부고속도로,1,하행,2,수원신갈IC,기흥휴게소,94,95,94,97,95,87,67,56,59,59,63,78,77,81,0,0,0,0,0,0,0,0,0,0,74,385467
2026,03,16,고속국도,1,경부고속도로,1,하행,2,한남대교,잠원IC,76,77,77,77,77,72,44,10,9,46,19,61,64,63,0,0,0,0,0,0,0,0,0,0,51,385467
2026,03,16,고속국도,1,경부고속도로,1,상행,1,양재IC,서초IC,78,78,78,78,78,75,41,26,28,22,22,22,35,25,0,0,0,0,0,0,0,0,0,0,33,385467
2026,03,16,고속국도,1,경부고속도로,1,하행,2,동탄JC,오산IC,98,98,96,97,98,91,72,42,73,81,60,75,85,86,0,0,0,0,0,0,0,0,0,0,79,385467
2026,03,16,고속국도,1,경부고속도로,1,하행,2,기흥동탄IC,동탄JC,103,101,100,101,100,97,90,96,98,92,91,92,91,91,0,0,0,0,0,0,0,0,0,0,93,385467
2026,03,16,고속국도,1,경부고속도로,1,하행,2,기흥IC,기흥동탄IC,99,97,96,99,99,94,83,89,88,88,86,86,87,89,0,0,0,0,0,0,0,0,0,0,89,385467
2026,03,16,고속국도,1,경부고속도로,1,상행,1,오산IC,동탄JC,100,97,95,92,95,95,94,95,96,92,90,91,90,73,0,0,0,0,0,0,0,0,0,0,88,385467
2026,03,16,고속국도,1,경부고속도로,1,상행,1,오산IC,동탄JC,100,97,95,92,95,95,94,95,96,92,90,91,90,73,0,0,0,0,0,0,0,0,0,0,88,385467
2026,03,16,고속국도,1,경부고속도로,1,하행,2,기흥휴게소,기흥IC,94,91,92,95,93,87,78,77,75,79,77,79,80,80,0,0,0,0,0,0,0,0,0,0,80,385467
2026,03,16,고속국도,1,경부고속도로,1,상행,1,수원신갈IC,신갈JC,96,93,93,91,91,89,52,45,39,68,83,79,80,78,0,0,0,0,0,0,0,0,0,0,74,385467
2026,03,16,고속국도,1,경부고속도로,1,상행,1,죽전휴게소,서울T/G,95,93,91,89,89,89,67,63,35,33,81,84,83,83,0,0,0,0,0,0,0,0,0,0,74,385467
2026,03,16,고속국도,1,경부고속도로,1,상행,1,신갈JC,죽전휴게소,94,93,92,89,90,87,75,68,44,63,87,85,84,84,0,0,0,0,0,0,0,0,0,0,79,385467
2026,03,16,고속국도,1,경부고속도로,1,하행,2,서울T/G,신갈JC,96,96,94,95,95,87,74,70,52,65,79,73,81,83,0,0,0,0,0,0,0,0,0,0,77,385467
2026,03,16,고속국도,1,경부고속도로,1,상행,1,기흥IC,수원신갈IC,95,94,92,91,92,89,45,29,29,63,82,64,71,71,0,0,0,0,0,0,0,0,0,0,67,385467
2026,03,16,고속국도,1,경부고속도로,1,하행,2,신갈JC,수원신갈IC,99,99,95,99,97,90,70,51,53,62,65,73,73,78,0,0,0,0,0,0,0,0,0,0,72,385467
2026,03,16,고속국도,1,경부고속도로,1,하행,2,서초IC,양재IC,79,80,79,79,79,79,63,61,51,49,62,65,60,65,0,0,0,0,0,0,0,0,0,0,63,385467
2026,03,16,고속국도,1,경부고속도로,1,상행,1,서초IC,반포IC,76,77,78,76,76,74,42,38,28,31,30,43,44,39,0,0,0,0,0,0,0,0,0,0,43,385467
2026,03,16,고속국도,1,경부고속도로,1,상행,1,반포IC,한남대교,78,78,78,78,79,75,42,42,29,64,71,70,72,70,0,0,0,0,0,0,0,0,0,0,65,385467
2026,03,16,고속국도,1,경부고속도로,1,상행,1,판교IC,판교JC,94,94,91,89,88,88,80,81,82,83,79,86,87,87,0,0,0,0,0,0,0,0,0,0,85,385467
2026,03,16,고속국도,1,경부고속도로,1,하행,2,달래네고개,판교JC,98,98,97,98,97,94,89,87,83,82,87,88,88,90,0,0,0,0,0,0,0,0,0,0,89,385467
2026,03,16,고속국도,1,경부고속도로,1,상행,1,판교JC,달래네고개,97,96,95,90,91,90,54,20,36,61,84,90,87,87,0,0,0,0,0,0,0,0,0,0,77,385467
2026,03,16,고속국도,1,경부고속도로,1,하행,2,안성JC,안성휴게소,94,91,90,91,94,92,86,84,83,80,55,77,83,85,0,0,0,0,0,0,0,0,0,0,81,385467
2026,03,16,고속국도,1,경부고속도로,1,하행,2,안성휴게소,안성IC,97,94,92,95,98,97,90,86,82,75,52,73,86,86,0,0,0,0,0,0,0,0,0,0,81,385467
2026,03,16,고속국도,1,경부고속도로,1,상행,1,안성IC,안성JC,97,96,95,92,94,93,92,89,83,91,90,90,89,88,0,0,0,0,0,0,0,0,0,0,90,385467
2026,03,16,고속국도,1,경부고속도로,1,상행,1,안성휴게소,오산IC,100,99,97,94,94,96,96,96,94,88,35,86,89,88,0,0,0,0,0,0,0,0,0,0,85,385467
2026,03,16,고속국도,1,경부고속도로,1,상행,1,안성JC,안성휴게소,95,94,91,89,89,90,88,89,88,87,86,86,83,82,0,0,0,0,0,0,0,0,0,0,86,385467
2026,03,16,고속국도,1,경부고속도로,1,하행,2,오산IC,안성JC,96,95,93,95,96,90,62,27,40,59,47,48,54,84,0,0,0,0,0,0,0,0,0,0,63,385467
2026,03,16,고속국도,1,경부고속도로,1,하행,2,만남의광장,달래네고개,96,96,95,95,95,93,86,83,84,88,84,84,85,85,0,0,0,0,0,0,0,0,0,0,86,385467
2026,03,16,고속국도,1,경부고속도로,1,상행,1,서울T/G,판교IC,95,95,92,90,91,90,78,71,51,52,77,86,87,87,0,0,0,0,0,0,0,0,0,0,80,385467
2026,03,16,고속국도,1,경부고속도로,1,하행,2,판교IC,서울T/G,94,94,92,92,91,86,78,81,65,77,83,80,84,87,0,0,0,0,0,0,0,0,0,0,83,385467
2026,03,16,고속국도,1,경부고속도로,1,하행,2,판교JC,판교IC,101,99,99,96,96,92,90,93,94,94,89,89,91,91,0,0,0,0,0,0,0,0,0,0,92,385467
