month,admi_nm,tot_cnt,inc_per_cap,card_per_cap,age3040_ratio,econ_ratio,stay2yr_ratio
202412,고등동,10021,431.0148687755713,265.52240295379704,0.4749027043209261,0.9631773276120148,0.4627282706316735
202412,구미1동,38018,435.133357883108,242.75606291756537,0.35501604503130096,0.9363985480561839,0.6628965226997738
202412,구미동,37397,436.4307297376795,243.6345161376581,0.35609808273390914,0.9365189721100623,0.6632082787389363
202412,금곡동,23235,459.1607488702389,270.11835592855607,0.3640628362384334,0.9296750591779642,0.6737249838605552
202412,금광1동,34854,341.429964996844,183.78665289493316,0.38684225626900787,0.9405807080966316,0.4787111952717048
202412,금광2동,34854,341.429964996844,183.78665289493316,0.38684225626900787,0.9405807080966316,0.4787111952717048
202412,단대동,11988,341.42475809142474,174.3827160493827,0.3324157490824157,0.9336002669336003,0.6966966966966966
202412,도촌동,21211,396.1340813728726,219.32487860072604,0.38489463014473624,0.9511102729715714,0.7117533355334497
202412,백현동,26032,512.1158574062692,310.77904118008604,0.37327135832821146,0.9431468961278426,0.6126306084818685
202412,복정동,11244,335.3877623621487,159.7829953753113,0.3588580576307364,0.896122376378513,0.4902170046246887
202412,분당동,19914,436.496936828362,251.72240634729337,0.3442804057447022,0.9400923973084262,0.6935321884101637
202412,산성동,4355,289.36854190585535,143.37543053960965,0.2881745120551091,0.8925373134328358,0.6013777267508611
202412,삼평동,21440,510.5643656716418,282.26212686567163,0.4364738805970149,0.9402518656716418,0.6539179104477612
202412,상대원1동,35526,307.35517649045767,149.18651128750773,0.3187806113832123,0.909559196081743,0.6531554354557225
202412,상대원2동,35526,307.35517649045767,149.18651128750773,0.3187806113832123,0.909559196081743,0.6531554354557225
202412,상대원3동,35526,307.35517649045767,149.18651128750773,0.3187806113832123,0.909559196081743,0.6531554354557225
202412,서현1동,40264,480.0541426584542,281.92429962249156,0.3681700774885754,0.939673157162726,0.6666004371150407
202412,서현2동,39385,481.68084296051796,282.3333756506284,0.36574838136346327,0.9390884854640091,0.6734035800431637
202412,성남동,28512,325.4875140291807,168.28002244668912,0.3506944444444444,0.9286616161616161,0.6140221661054994
202412,수내1동,33489,524.676759532981,315.3662396607841,0.391800292633402,0.933590134073875,0.6581265490160948
202412,수내2동,33489,524.676759532981,315.3662396607841,0.391800292633402,0.933590134073875,0.6581265490160948
202412,수내3동,33489,524.676759532981,315.3662396607841,0.391800292633402,0.933590134073875,0.6581265490160948
202412,수진1동,28176,304.12052810902895,134.2703009653606,0.27686683702441794,0.8787265758091993,0.6669505962521295
202412,수진2동,28176,304.12052810902895,134.2703009653606,0.27686683702441794,0.8787265758091993,0.6669505962521295
202412,시흥동,3602,425.87451415880065,250.22209883398114,0.4317046085508051,0.9350360910605219,0.390893947806774
202412,신촌동,3055,387.4631751227496,209.88543371522096,0.3855973813420622,0.9165302782324058,0.5194762684124387
202412,신흥1동,45121,357.75802841249083,186.01981339066066,0.36180492453624696,0.9274395514283814,0.5534895059949912
202412,신흥2동,45121,357.75802841249083,186.01981339066066,0.36180492453624696,0.9274395514283814,0.5534895059949912
202412,신흥3동,45121,357.75802841249083,186.01981339066066,0.36180492453624696,0.9274395514283814,0.5534895059949912
202412,야탑1동,49829,409.6670613498164,214.69826807682273,0.36396475947741275,0.9400549880591623,0.6863673764273817
202412,야탑2동,49829,409.6670613498164,214.69826807682273,0.36396475947741275,0.9400549880591623,0.6863673764273817
