scenario_id,scenario_label_kr,airspace_mode,lot_id,lot_name,lat,lon,site_GU_NM,site_ADM_NM,selected_order,assigned_Ds_sum,coverage_cell_count,route_feasibility,approval_required_routes,candidate_score,hub_explanation
S004,공역+장애물+소음+로봇접근 (엄격제외),strict_exclusion,206-2-000008,오리환승,37.33971,127.10941,분당구,구미동,3,9.7962,36,0.78196,0,0.51049,RFI=0.486 | Ds=9.80 | 36셀 | RFI순위#3 | 경로타당성78%
S004,공역+장애물+소음+로봇접근 (엄격제외),strict_exclusion,206-3-000004,분당도서관 부설주차장,37.3581,127.11658,분당구,정자3동,4,10.0271,36,0.7302,0,0.55042,RFI=0.305 | Ds=10.03 | 36셀 | RFI순위#4 | 경로타당성73%
S004,공역+장애물+소음+로봇접근 (엄격제외),strict_exclusion,206-2-000006,정자전원마을,37.35922,127.12451,분당구,정자3동,5,8.2083,31,0.71936,0,0.535,RFI=0.163 | Ds=8.21 | 31셀 | RFI순위#5 | 경로타당성72%
S004,공역+장애물+소음+로봇접근 (엄격제외),strict_exclusion,205-2-000028,해오름,37.44109,127.15909,중원구,금광1동,6,0.0,0,0.5,0,0.50109,RFI=0.000 | Ds=0.00 | 0셀 | RFI순위#6 | 경로타당성50%
S005,공역+장애물+소음+기상 (승인허용),approval_required_allowed,206-3-000001,분당구청 부설주차장,37.38262,127.11896,분당구,수내1동,1,20.5298,58,0.82629,58,0.69271,RFI=0.874 | Ds=20.53 | 58셀 | RFI순위#1 | 경로타당성83%
S005,공역+장애물+소음+기상 (승인허용),approval_required_allowed,206-2-000020,백현동카페거리공영주차장,37.38545,127.11199,분당구,백현동,2,23.3154,60,0.78124,60,0.61974,RFI=0.859 | Ds=23.32 | 60셀 | RFI순위#2 | 경로타당성78%
S005,공역+장애물+소음+기상 (승인허용),approval_required_allowed,206-2-000011,수내역환승,37.37928,127.11886,분당구,수내1동,3,20.5613,60,0.7752,60,0.69279,RFI=0.815 | Ds=20.56 | 60셀 | RFI순위#3 | 경로타당성78%
S005,공역+장애물+소음+기상 (승인허용),approval_required_allowed,205-2-000001,대원천,37.42891,127.12015,중원구,성남동,4,16.7096,60,0.85268,60,0.54402,RFI=0.792 | Ds=16.71 | 60셀 | RFI순위#4 | 경로타당성85%
S005,공역+장애물+소음+기상 (승인허용),approval_required_allowed,205-2-000002,성남동 대형,37.42891,127.12012,중원구,성남동,5,16.7096,60,0.85249,60,0.58517,RFI=0.792 | Ds=16.71 | 60셀 | RFI순위#5 | 경로타당성85%
S005,공역+장애물+소음+기상 (승인허용),approval_required_allowed,205-1-000066,모란5,37.42951,127.12549,중원구,성남동,6,16.7863,58,0.80077,58,0.43353,RFI=0.777 | Ds=16.79 | 58셀 | RFI순위#6 | 경로타당성80%
S006,공역+장애물+소음+기상 (엄격제외),strict_exclusion,206-3-000007,구미도서관,37.34553,127.10769,분당구,구미1동,1,15.476,48,0.7626,0,0.48579,RFI=0.711 | Ds=15.48 | 48셀 | RFI순위#1 | 경로타당성76%
S006,공역+장애물+소음+기상 (엄격제외),strict_exclusion,206-2-000009,금곡동,37.35086,127.10686,분당구,금곡동,2,19.7821,57,0.69945,0,0.50197,RFI=0.600 | Ds=19.78 | 57셀 | RFI순위#2 | 경로타당성70%
S006,공역+장애물+소음+기상 (엄격제외),strict_exclusion,206-2-000008,오리환승,37.33971,127.10941,분당구,구미동,3,11.1176,36,0.78196,0,0.51049,RFI=0.509 | Ds=11.12 | 36셀 | RFI순위#3 | 경로타당성78%
S006,공역+장애물+소음+기상 (엄격제외),strict_exclusion,206-3-000004,분당도서관 부설주차장,37.3581,127.11658,분당구,정자3동,4,11.334,36,0.7302,0,0.55042,RFI=0.294 | Ds=11.33 | 36셀 | RFI순위#4 | 경로타당성73%
S006,공역+장애물+소음+기상 (엄격제외),strict_exclusion,206-2-000006,정자전원마을,37.35922,127.12451,분당구,정자3동,5,9.2813,31,0.71936,0,0.535,RFI=0.168 | Ds=9.28 | 31셀 | RFI순위#5 | 경로타당성72%
S006,공역+장애물+소음+기상 (엄격제외),strict_exclusion,205-2-000028,해오름,37.44109,127.15909,중원구,금광1동,6,0.0,0,0.5,0,0.50109,RFI=0.000 | Ds=0.00 | 0셀 | RFI순위#6 | 경로타당성50%
S007,공역+장애물+소음 (승인허용),approval_required_allowed,206-3-000001,분당구청 부설주차장,37.38262,127.11896,분당구,수내1동,1,20.8628,58,0.82629,58,0.69271,RFI=0.874 | Ds=20.86 | 58셀 | RFI순위#1 | 경로타당성83%
S007,공역+장애물+소음 (승인허용),approval_required_allowed,206-2-000020,백현동카페거리공영주차장,37.38545,127.11199,분당구,백현동,2,23.6764,60,0.78124,60,0.61974,RFI=0.859 | Ds=23.68 | 60셀 | RFI순위#2 | 경로타당성78%
S007,공역+장애물+소음 (승인허용),approval_required_allowed,206-2-000011,수내역환승,37.37928,127.11886,분당구,수내1동,3,20.8939,60,0.7752,60,0.69279,RFI=0.815 | Ds=20.89 | 60셀 | RFI순위#3 | 경로타당성78%
