lot_id,lot_name,lot_class,lot_subtype,address_road,address_jibun,lat,lon,ADM_NM,GU_NM,CSV_ADMI_CD,h3_index,nearest_h3_m,capacity_num,avg_monthly_entries,parking_candidate_score,parking_candidate_score_confidence,parking_site_score,Ds,demand_grade,delivery_zone,constraint_score,drone_score,robot_score,service_priority_score,covered_cell_count,covered_priority_cell_count,covered_priority_ratio,catchment_mean_Ds,catchment_total_Ds,catchment_max_Ds,catchment_mean_service_priority,demand_context_score,constraint_context_score,zone_score,corporate_context_score,candidate_score_primary,candidate_score_conservative,candidate_score_for_ranking,candidate_rank,candidate_percentile,candidate_grade,airspace_review_required,candidate_reason,risk_note,nb10_candidate_reason,nb10_risk_note
204-2-000028,수진 제2,공영,노외,경기도 성남시 수정구 제일로 99,None,37.435349,127.134086,성남동,중원구,41133510,8930e152447ffff,0.0,165,1314.2857142857142,0.7159,1.0,0.7159,0.5129422940779669,A,부적합,0.6943027808213441,0.5789688934707122,0.4239617296733801,0.5182554909845104,61,0.0,0.0,0.4105804042380873,25.045404658523324,0.6379810132478028,0.46727102393739295,0.5526364082585064,0.6943027808213441,0.0,0.27329046980358374,0.5596379615859924,0.5596379615859924,0.5596379615859924,11,94.2,A,False,"노외 공영주차장, 주차면수 큼, 면당 입출차 낮음, 24시간 운영",-,수요는 있으나 제약/공역 리스크 있음,이상 없음
206-2-000012,판교역환승,공영,노외,경기도 성남시 분당구 분당내곡로 121,경기도 성남시 분당구 백현동 532-1,37.39577,127.11114,백현동,분당구,41135657,8930e153417ffff,0.0,273,14664.142857142857,0.6314,1.0,0.6314,0.45376362521388297,B,부적합,0.7770647346291657,0.5169507092948872,0.8292906584066789,0.5509845112807936,59,0.0,0.0,0.42777670246544436,25.238825445461217,0.46286517016966955,0.5036053516104471,0.5672209790547698,0.7770647346291657,0.0,0.1566804533532173,0.5584775489941217,0.5584775489941217,0.5584775489941217,12,93.6,A,False,"노외 공영주차장, 주차면수 큼, 면당 입출차 높음, 24시간 운영",회전율 높아 포화 가능성,수요는 있으나 제약/공역 리스크 있음,이상 없음
206-3-000004,분당도서관 부설주차장,공영,부설,경기도 성남시 분당구 불정로 110,경기도 성남시 분당구 정자동 208,37.358104,127.11658,정자3동,분당구,41135570,8930e1532dbffff,0.0,186,,0.4602,0.6,0.4602,0.2978596732733048,C,하이브리드,0.7638826021787933,0.824489052207686,0.7200608562100377,0.5666201924876848,58,21.0,0.3620689655172414,0.34911962646401734,20.248938334913007,0.6610120434351695,0.5042120353870325,0.4099516477202899,0.7638826021787933,1.0,0.01825969538097582,0.5504167120158485,0.5504167120158485,0.5504167120158485,13,93.0,A,False,"부설 공영주차장, 주차면수 큼, 입출차 데이터 없음, 장시간 운영",입출차 데이터 미확보,하이브리드 구역 — 추가 현장 검토 권장,이상 없음
206-2-000004,맛고을,공영,노외,경기도 성남시 분당구 야탑로111번길 12-14,None,37.411659,127.131784,야탑1동,분당구,41135620,8930e15264fffff,0.0,210,11566.685714285713,0.5923,1.0,0.5923,0.7196853984687459,A,부적합,0.6839141859658753,0.4629456710571882,0.7267047812461198,0.6312303704301755,60,0.0,0.0,0.3985155023013226,23.910930138079355,0.7196853984687459,0.45667777749891647,0.5203713738534759,0.6839141859658753,0.0,0.8676116981670075,0.5445641122485358,0.5445641122485358,0.5445641122485358,14,92.4,A,False,"노외 공영주차장, 주차면수 큼, 면당 입출차 높음, 24시간 운영",회전율 높아 포화 가능성,수요는 있으나 제약/공역 리스크 있음,이상 없음
205-2-000001,대원천,공영,노외,경기도 성남시 중원구 둔촌대로 10,None,37.42891,127.120151,성남동,중원구,41133510,8930e1c9977ffff,0.0,218,3514.4857142857145,0.7195,1.0,0.7195,0.5129422940779669,A,부적합,0.8884454293117431,0.6823392788682603,0.49860200098002705,0.5693631801349817,60,0.0,0.0,0.31865941195534475,19.119564717320685,0.5129422940779669,0.44169681758346885,0.36676194982451804,0.8884454293117431,0.0,0.27329046980358374,0.5440175632566963,0.5440175632566963,0.5440175632566963,15,91.8,A,False,"노외 공영주차장, 주차면수 큼, 면당 입출차 중간, 24시간 운영",-,"종합 점수 낮음, 추가 검토 필요",이상 없음
206-2-000003,야탑 제2환승,공영,노외,경기도 성남시 분당구 성남대로 919,None,37.411756,127.128165,야탑1동,분당구,41135620,8930e15264bffff,0.0,126,8121.75,0.5163,1.0,0.5163,0.7196853984687459,A,부적합,0.7254127610704878,0.49236991111298156,0.7267047812461198,0.6415288544497032,58,0.0,0.0,0.4176036991870738,24.22101455285028,0.7196853984687459,0.46999812482986947,0.5386646408313799,0.7254127610704878,0.0,0.8676116981670075,0.5423413994669553,0.5423413994669553,0.5423413994669553,16,91.2,A,False,"노외 공영주차장, 주차면수 큼, 면당 입출차 높음, 24시간 운영",회전율 높아 포화 가능성,수요는 있으나 제약/공역 리스크 있음,이상 없음
206-2-000006,정자전원마을,공영,노외,경기도 성남시 분당구 불곡로13번길 6,None,37.35922,127.124509,정자3동,분당구,41135570,8930e15321bffff,0.0,118,2036.7428571428572,0.6607,1.0,0.6607,0.2978596732733048,C,드론우선,0.6930131528252459,0.8424414564931941,0.3448580834693706,0.4978629794394792,57,8.0,0.14035087719298245,0.30276902466906563,17.25783440613674,0.4300143748335851,0.47697939910226217,0.3161586272957302,0.6930131528252459,0.85,0.01825969538097582,0.5349967925288658,0.5349967925288658,0.5349967925288658,17,90.6,A,False,"노외 공영주차장, 주차면수 큼, 면당 입출차 중간, 24시간 운영",-,드론우선 구역 — 추가 현장 검토 권장,이상 없음
204-2-000029,수진 제3,공영,노외,경기도 성남시 수정구 제일로 128,None,37.438147,127.133322,수진2동,수정구,41131580,8930e15240bffff,0.0,223,7000.628571428571,0.6741,1.0,0.6741,0.3244089278797707,C,부적합,0.6914817704770899,0.5854485088235294,0.4170368543091858,0.4342983664959692,56,0.0,0.0,0.42094252454943587,23.572781374768407,0.6775996391710029,0.4748798591721655,0.5263681490852996,0.6914817704770899,0.0,0.11969360606464009,0.5316089751023593,0.5316089751023593,0.5316089751023593,18,90.1,A,False,"노외 공영주차장, 주차면수 큼, 면당 입출차 높음, 24시간 운영",회전율 높아 포화 가능성,수요는 있으나 제약/공역 리스크 있음,이상 없음
205-2-000003,성남동 제1,공영,노외,경기도 성남시 중원구 시민로 77번길 10,None,37.434879,127.14482,성남동,중원구,41133510,8930e152093ffff,0.0,388,984.1666666666666,0.8563,1.0,0.8563,0.5129422940779669,A,부적합,0.5717996740075022,0.5126899113534702,0.2396516478386427,0.4581958308765282,55,0.0,0.0,0.38548946858396,21.2019207721178,0.6379810132478028,0.4236131284687598,0.4527959972187402,0.5717996740075022,0.0,0.27329046980358374,0.5291680410186138,0.5291680410186138,0.5291680410186138,19,89.5,A,False,"노외 공영주차장, 주차면수 큼, 면당 입출차 낮음, 24시간 운영",-,수요는 있으나 제약/공역 리스크 있음,이상 없음
206-3-000006,판교어린이도서관,공영,부설,경기도 성남시 분당구 판교역로 75,경기도 성남시 분당구 백현동 523,37.387525,127.107668,백현동,분당구,41135657,8930e153443ffff,0.0,70,,0.394,0.6,0.394,0.45376362521388297,B,부적합,0.7806216937002084,0.6046692533764609,0.4085756659698356,0.4975430032219758,58,0.0,0.0,0.47449649009109146,27.520796425283304,0.8298987264166263,0.536658570186166,0.6455922973291532,0.7806216937002084,0.0,0.1566804533532173,0.5274467501579166,0.5274467501579166,0.5274467501579166,20,88.9,A,False,"부설 공영주차장, 주차면수 중간, 입출차 데이터 없음, 장시간 운영",입출차 데이터 미확보,수요는 있으나 제약/공역 리스크 있음,주차 후보 점수 낮음
