ADM_NM,avg_total_corp,avg_weighted_corp,top_industry,avg_total_corp_norm,avg_weighted_corp_norm,Ec
고등동,10.68562401263823,5.342812006319115,제조업(10~34),0.15910017311052807,0.15910017311052807,0.15910017311052807
구미1동,21.830282861896837,10.915141430948418,제조업(10~34),0.35778522681970787,0.35778522681970787,0.35778522681970787
구미동,18.656060606060606,9.328030303030303,제조업(10~34),0.3011957405091735,0.3011957405091735,0.3011957405091735
금곡동,16.206636500754147,8.103318250377074,제조업(10~34),0.25752783048142525,0.25752783048142525,0.25752783048142525
금광1동,2.75,1.375,"전문, 과학 및 기술 서비스업(70~73)",0.01762523839130404,0.01762523839130404,0.01762523839130404
금광2동,4.499001996007984,2.249500998003992,제조업(10~34),0.048806143990529835,0.048806143990529835,0.048806143990529835
단대동,2.6788511749347257,1.3394255874673628,제조업(10~34),0.016356809422715248,0.016356809422715248,0.016356809422715248
도촌동,11.55281690140845,5.776408450704225,제조업(10~34),0.1745603382005516,0.1745603382005516,0.1745603382005516
백현동,12.911371237458194,6.455685618729097,제조업(10~34),0.19878041033338673,0.19878041033338673,0.19878041033338673
복정동,13.190938511326861,6.5954692556634305,제조업(10~34),0.20376448742136508,0.20376448742136508,0.20376448742136508
분당동,4.856041131105399,2.4280205655526994,제조업(10~34),0.055171376044073406,0.055171376044073406,0.055171376044073406
산성동,1.7613636363636365,0.8806818181818182,도매 및 소매업(45~47),0.0,0.0,0.0
삼평동,57.85344827586207,28.926724137931036,제조업(10~34),1.0,1.0,1.0
상대원1동,54.333333333333336,27.166666666666668,제조업(10~34),0.9372439985935205,0.9372439985935205,0.9372439985935205
상대원2동,7.7443298969072165,3.8721649484536083,제조업(10~34),0.10666328946402799,0.10666328946402799,0.10666328946402799
상대원3동,2.9400921658986174,1.4700460829493087,제조업(10~34),0.021014168703313876,0.021014168703313876,0.021014168703313876
서현1동,35.77197802197802,17.88598901098901,제조업(10~34),0.6063353609372737,0.6063353609372737,0.6063353609372737
서현2동,5.119512195121951,2.5597560975609754,제조업(10~34),0.059868492682006724,0.059868492682006724,0.059868492682006724
성남동,18.665594855305468,9.332797427652734,제조업(10~34),0.30136571545851154,0.30136571545851154,0.30136571545851154
수내1동,28.564207650273225,14.282103825136613,제조업(10~34),0.47783647525618606,0.47783647525618606,0.47783647525618606
수내2동,3.4161290322580644,1.7080645161290322,"전문, 과학 및 기술 서비스업(70~73)",0.029500871763450016,0.029500871763450016,0.029500871763450016
수내3동,2.979020979020979,1.4895104895104896,제조업(10~34),0.021708184862145475,0.021708184862145475,0.021708184862145475
수진1동,4.3259668508287294,2.1629834254143647,제조업(10~34),0.045721303298811126,0.045721303298811126,0.045721303298811126
수진2동,5.578125,2.7890625,제조업(10~34),0.06804456258252005,0.06804456258252005,0.06804456258252005
시흥동,19.046224961479197,9.523112480739599,제조업(10~34),0.3081515232711472,0.3081515232711472,0.3081515232711472
신촌동,3.8946135831381734,1.9473067915690867,제조업(10~34),0.038031211720599235,0.038031211720599235,0.038031211720599235
신흥1동,2.980769230769231,1.4903846153846154,제조업(10~34),0.02173935239245724,0.02173935239245724,0.02173935239245724
신흥2동,5.706036745406824,2.853018372703412,제조업(10~34),0.07032495109417741,0.07032495109417741,0.07032495109417741
신흥3동,3.9381720430107525,1.9690860215053763,제조업(10~34),0.03880776442233117,0.03880776442233117,0.03880776442233117
야탑1동,27.836441893830703,13.918220946915351,제조업(10~34),0.46486199300757924,0.46486199300757924,0.46486199300757924
야탑2동,6.776923076923077,3.3884615384615384,제조업(10~34),0.08941652771142734,0.08941652771142734,0.08941652771142734
야탑3동,16.839260312944525,8.419630156472262,제조업(10~34),0.26880613857527175,0.26880613857527175,0.26880613857527175
양지동,1.9197080291970803,0.9598540145985401,제조업(10~34),0.0028229364954274177,0.0028229364954274177,0.0028229364954274177
운중동,14.155887230514097,7.077943615257048,제조업(10~34),0.2209674265773783,0.2209674265773783,0.2209674265773783
위례동,21.899390243902438,10.949695121951219,제조업(10~34),0.35901726129390776,0.35901726129390776,0.35901726129390776
은행1동,1.975609756097561,0.9878048780487805,도매 및 소매업(45~47),0.003819542830523694,0.003819542830523694,0.003819542830523694
은행2동,3.5559105431309903,1.7779552715654952,제조업(10~34),0.03199287240438351,0.03199287240438351,0.03199287240438351
이매1동,8.084158415841584,4.042079207920792,제조업(10~34),0.11272169362423047,0.11272169362423047,0.11272169362423047
이매2동,4.467065868263473,2.2335329341317367,제조업(10~34),0.04823679221924583,0.04823679221924583,0.04823679221924583
정자1동,36.450980392156865,18.225490196078432,제조업(10~34),0.6184404979551392,0.6184404979551392,0.6184404979551392
정자2동,2.6456953642384105,1.3228476821192052,정보통신업(58~63),0.015765713354358966,0.015765713354358966,0.015765713354358966
정자3동,3.931297709923664,1.965648854961832,제조업(10~34),0.03868520999898839,0.03868520999898839,0.03868520999898839
정자동,6.635193133047211,3.3175965665236054,제조업(10~34),0.08688979074333712,0.08688979074333712,0.08688979074333712
중앙동,2.6867924528301885,1.3433962264150943,"전문, 과학 및 기술 서비스업(70~73)",0.01649838515388126,0.01649838515388126,0.01649838515388126
태평1동,4.6853707414829655,2.3426853707414828,제조업(10~34),0.05212869380611907,0.05212869380611907,0.05212869380611907
태평2동,4.176829268292683,2.0884146341463414,제조업(10~34),0.04306250422770247,0.04306250422770247,0.04306250422770247
태평3동,3.5794701986754967,1.7897350993377483,제조업(10~34),0.03241288987558151,0.03241288987558151,0.03241288987558151
태평4동,2.2035714285714287,1.1017857142857144,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",0.007883604167144863,0.007883604167144863,0.007883604167144863
판교동,8.419172932330827,4.209586466165414,제조업(10~34),0.118694274580035,0.118694274580035,0.118694274580035
하대원동,8.274900398406375,4.137450199203188,제조업(10~34),0.11612220875556642,0.11612220875556642,0.11612220875556642
