assigned_lot_id,assigned_lot_name,target_h3_index,target_ADM_NM,target_GU_NM,hub_lat,hub_lon,target_lat,target_lon,CSV_ADMI_CD,Ds,delivery_zone,straight_dist_m,drone_distance_m,road_dist_proxy_m,road_dist_used_m,moto_time_est_min,moto_time_source,moto_time_fallback_min,kosha_success,kosha_result_code,kosha_result_msg,kosha_moto_time_min,kosha_moto_dist_m,drone_time_min,drone_direct_eta_min,drone_time_wx_adj_min,drone_robot_full_eta_min,drone_robot_full_wx_expected_eta_min,robot_distance_m,robot_time_min_adjusted,time_saving_min,time_saving_pct,speedup_ratio,drone_faster,time_saving_robot_full_min,time_saving_robot_full_pct,drone_robot_full_faster,moto_co2_g,drone_co2_g,drone_robot_full_co2_g,co2_saving_g,co2_saving_robot_full_g,airspace_approval_required,drone_direct_feasible_strict,robot_handoff_feasible,mean_slope_deg,route_mean_constraint_score,in_baedal_zone,baedal_zone_id,baedal_zone_name
206-3-000004,분당도서관 부설주차장,8830e02499fffff,구미1동,분당구,37.358104,127.11658,37.34735297003032,127.12048388918946,41135665,0.3418592734528097,하이브리드,1244.265165628107,1241.8359716264745,1676.4785616957406,2012.0,14.416666666666666,KOSHA_API,8.8288,True,00,NORMAL_CODE,14.416666666666666,2012.0,1.2418359716264744,4.741835971626474,5.282726731294087,33.110232516036724,32.065131330095994,1758.4596242528978,27.368396544410253,9.13393993537258,63.356808800272226,2.7290199550289964,True,-17.64846466342933,-122.41709593130172,False,290.734,26.078555404155964,39.97038643575386,264.655444595844,250.76361356424613,True,False,True,5.939744997024536,0.6702100769392251,False,,
206-3-000004,분당도서관 부설주차장,8830e024d1fffff,금곡동,분당구,37.358104,127.11658,37.35324275455719,127.10788650826936,41135662,0.3352825633228366,드론우선,939.476900544653,940.0080053874544,1269.0108072730636,1930.0,13.833333333333334,KOSHA_API,8.632,True,00,NORMAL_CODE,13.833333333333334,1930.0,0.9400080053874544,4.440008005387455,4.965160644496925,38.436800249854585,37.06129422495263,2101.519568169375,32.99679224446713,8.86817268883641,64.10727244941982,2.7860797109687354,True,-23.227960891619297,-167.91297030086238,False,278.885,19.740168113136544,36.342172701674606,259.14483188686347,242.5428272983254,True,False,True,6.168994366625944,0.6127280595049098,False,,
206-3-000004,분당도서관 부설주차장,8830e024d3fffff,금곡동,분당구,37.358104,127.11658,37.35366319257715,127.11577802623792,41135662,0.3352825633228366,하이브리드,498.85698030654567,497.76295087795705,671.979983685242,2032.0,13.933333333333334,KOSHA_API,8.8768,True,00,NORMAL_CODE,13.933333333333334,2032.0,0.4977629508779571,3.997762950877957,4.55323088424989,31.918902218676724,30.91338301900383,1397.063696654396,26.921139267798768,9.380102449083443,67.32130944318261,3.0600981341689075,True,-16.980049685670497,-121.86638530385525,False,293.624,10.453021968437099,21.489825172006825,283.1709780315629,272.1341748279932,True,False,True,12.116334819793702,0.6359004914712474,False,,
206-3-000004,분당도서관 부설주차장,8830e024d7fffff,구미1동,분당구,37.358104,127.11658,37.34693329456015,127.11259240697711,41135665,0.3418592734528097,하이브리드,1291.1658027623814,1288.6322431670533,1739.6535282755221,2306.0,14.316666666666666,KOSHA_API,9.5344,True,00,NORMAL_CODE,14.316666666666666,2306.0,1.2886322431670534,4.788632243167053,5.321316063681646,37.04319525407039,35.77262322033441,2083.6375340602226,31.254563010903336,8.99535060298502,62.83131969488955,2.6904371954860786,True,-21.455956553667743,-149.86698407684105,False,333.217,27.061277106508122,43.52201362558388,306.1557228934919,289.6949863744161,True,False,True,4.506972044333816,0.6832145113958945,False,,
206-3-000004,분당도서관 부설주차장,8830e024d9fffff,금곡동,분당구,37.358104,127.11658,37.35955161953489,127.1031801232576,41135662,0.3352825633228366,부적합,1195.2153893098282,1197.4782621972042,1616.5956539662259,1616.5956539662259,7.879829569518941,fallback_speed_model,7.879829569518941,False,REQUEST_ERROR,HTTPError: 500 Server Error: Internal Server Error,,,1.1974782621972042,4.697478262197205,4.875393976735642,24.631181570783763,23.694663734449048,1262.246887239104,18.93370330858656,3.0044355927832997,38.12817988354942,1.6162446783008382,True,-15.814834164930106,-200.70020582812674,False,233.59807199811962,25.147043506141287,35.11879391533021,208.45102849197832,198.47927808278942,True,False,True,4.98228876615564,0.5970100316466449,False,,
206-3-000004,분당도서관 부설주차장,8830e024dbfffff,정자3동,분당구,37.358104,127.11658,37.35997282010733,127.11107167684116,41135570,0.2978596732733048,부적합,529.3375134043563,530.0343089964659,715.5463171452291,825.0,12.583333333333334,KOSHA_API,5.98,True,00,NORMAL_CODE,12.583333333333334,825.0,0.530034308996466,4.030034308996466,4.508223597550068,14.765510681468152,14.643511692465978,586.3883931939584,9.735476372471686,8.075109735783265,64.17305750291335,2.7911954811140185,True,-2.060178359132644,-16.372278350723,False,119.21249999999999,11.130720488925785,15.763188795158058,108.0817795110742,103.44931120484193,True,False,True,7.670728381474813,0.5127072806717069,False,,
206-2-000022,운중동공영주차장,8830e02683fffff,판교동,분당구,37.390875,127.0779,37.37805069205754,127.08116763963528,41135650,0.2981632220459188,부적합,1454.9301052607073,1451.869130988514,1960.023326834494,1960.023326834494,8.704055984402785,fallback_speed_model,8.704055984402785,False,REQUEST_ERROR,HTTPError: 500 Server Error: Internal Server Error,,,1.451869130988514,4.951869130988514,5.161642641402346,67.17487604781311,63.905947910528035,3282.34437328,61.2230069168246,3.5424133430004394,40.69842093557601,1.686295737443384,True,-55.20189192612525,-634.2088335029573,False,283.2233707275844,30.489251750758793,56.4197722996708,252.73411897682558,226.80359842791358,True,False,True,11.087032089630762,0.5758912821093556,False,,
206-2-000022,운중동공영주차장,8830e02689fffff,운중동,분당구,37.390875,127.0779,37.38393123801656,127.06857007823017,41135680,0.3436518582823575,부적합,1129.433237895506,1129.425351236904,1524.7242241698204,1524.7242241698204,7.659338138007569,fallback_speed_model,7.659338138007569,False,REQUEST_ERROR,HTTPError: 500 Server Error: Internal Server Error,,,1.129425351236904,4.629425351236904,4.798818685406892,79.15217939726975,75.15522912098818,4786.411417915395,73.52275404603284,2.860519452600677,37.34682293769037,1.5960882542404566,True,-67.49589098298061,-881.2235439515193,False,220.32265039253906,23.717932375974982,61.53058257750661,196.60471801656408,158.79206781503245,True,False,True,5.60120990673701,0.5503893072187408,False,,
206-2-000022,운중동공영주차장,8830e0268bfffff,운중동,분당구,37.390875,127.0779,37.3843564124282,127.07645927448829,41135680,0.3436518582823575,부적합,735.9254043360985,734.3480287090113,991.3698387571652,1614.0,14.483333333333333,KOSHA_API,7.873600000000001,True,00,NORMAL_CODE,14.483333333333333,1614.0,0.7343480287090113,4.234348028709011,4.807338050134643,28.760455273450948,27.962264217144792,1208.8966371565523,23.526107244741937,9.67599528319869,66.80779251920845,3.012755329933098,True,-13.47893088381146,-93.06511542332424,False,233.223,15.421308602889237,24.971592036426003,217.80169139711077,208.25140796357402,True,False,True,12.434682615598042,0.5633442389154231,False,,
206-2-000022,운중동공영주차장,8830e02691fffff,판교동,분당구,37.390875,127.0779,37.38520537596634,127.0922414145638,41135650,0.2981632220459188,부적합,1415.2243741171797,1416.8275543914328,1912.7171984284344,1912.7171984284344,8.590521276228243,fallback_speed_model,8.590521276228243,False,REQUEST_ERROR,HTTPError: 500 Server Error: Internal Server Error,,,1.4168275543914328,4.916827554391433,5.122212749298163,30.876399447670998,29.63046285674015,1633.127733375899,24.959571893279566,3.4683085269300795,40.37366785328394,1.6771113767981038,True,-21.039941580511908,-244.92042920298442,False,276.38763517290874,29.75337864222009,42.655087735889694,246.63425653068865,233.73254743701904,True,False,True,5.472157283624013,0.5618033730722237,False,,
