lot_id,lot_name,site_ADM_NM,site_GU_NM,selected_order,final_hub_base_score,greedy_increment_score,candidate_rank,candidate_grade,candidate_score_for_ranking,route_feasibility_index_approval,route_feasibility_index_strict,assigned_target_count,assigned_Ds_sum,mean_assigned_drone_time_min,assigned_airspace_approval_count,assigned_strict_feasible_count,assigned_robot_handoff_count,selection_reason,nb12_risk_note
206-2-000020,백현동카페거리공영주차장,백현동,분당구,1,0.7834,0.8583,3,A,0.619737256724796,0.824,0.0,60,31.37295429898524,0.7853284597430955,60,0,60,Greedy step 1 — added 60 targets (Ds=31.373),60 assigned routes need 관제권 approval; no strictly-feasible assigned routes (all require airspace approval)
204-2-000034,신흥제9공영주차장,신흥1동,수정구,2,0.613,0.8898,26,A,0.5166860834125706,0.6639,0.0,59,25.720763374256986,0.7799073096928453,59,0,59,Greedy step 2 — added 59 targets (Ds=25.721),59 assigned routes need 관제권 approval; no strictly-feasible assigned routes (all require airspace approval)
206-2-000003,야탑 제2환승,야탑1동,분당구,3,0.7161,0.9128,16,A,0.5423413994669553,0.7727,0.0,58,24.22101455285028,0.7723863098878129,58,0,58,Greedy step 3 — added 58 targets (Ds=24.221),58 assigned routes need 관제권 approval; no strictly-feasible assigned routes (all require airspace approval)
206-2-000007,정자역환승,정자1동,분당구,4,0.7045,0.914,5,A,0.5983842900979778,0.7604,0.0,57,23.7120982170928,0.7649548831116478,57,0,57,Greedy step 4 — added 57 targets (Ds=23.712),57 assigned routes need 관제권 approval; no strictly-feasible assigned routes (all require airspace approval)
206-2-000005,점골,서현2동,분당구,5,0.5485,0.8911,31,A,0.5089155654429073,0.63,0.0,60,22.804436441455806,0.7855963892781147,60,0,60,Greedy step 5 — added 60 targets (Ds=22.804),60 assigned routes need 관제권 approval; no strictly-feasible assigned routes (all require airspace approval)
206-2-000022,운중동공영주차장,운중동,분당구,6,0.4977,0.8791,55,B,0.4745467533179886,0.615,0.0,60,19.386908329618034,0.7857524973041486,60,0,58,Greedy step 6 — added 60 targets (Ds=19.387),60 assigned routes need 관제권 approval; no strictly-feasible assigned routes (all require airspace approval)
