assigned_lot_id,assigned_lot_name,target_h3_index,target_ADM_NM,target_GU_NM,Ds,delivery_zone,moto_time_est_min,drone_time_wx_adj_min,drone_robot_full_wx_expected_eta_min,time_saving_min,time_saving_pct,speedup_ratio,drone_faster,time_saving_robot_full_min,drone_robot_full_faster,co2_saving_g,co2_saving_robot_full_g,straight_dist_m,road_dist_used_m,airspace_approval_required,route_mean_constraint_score,avg_monthly_del_cnt,est_monthly_orders,est_annual_orders,sc_conservative_drone_orders,sc_conservative_time_saved_min,sc_conservative_time_saved_hrs,sc_conservative_co2_saved_g,sc_conservative_co2_saved_kg,sc_conservative_co2_saved_ton,sc_conservative_moto_km_reduced,sc_conservative_drone_km_operated,sc_conservative_time_saved_robot_min,sc_conservative_co2_saved_robot_kg,sc_base_drone_orders,sc_base_time_saved_min,sc_base_time_saved_hrs,sc_base_co2_saved_g,sc_base_co2_saved_kg,sc_base_co2_saved_ton,sc_base_moto_km_reduced,sc_base_drone_km_operated,sc_base_time_saved_robot_min,sc_base_co2_saved_robot_kg,sc_active_drone_orders,sc_active_time_saved_min,sc_active_time_saved_hrs,sc_active_co2_saved_g,sc_active_co2_saved_kg,sc_active_co2_saved_ton,sc_active_moto_km_reduced,sc_active_drone_km_operated,sc_active_time_saved_robot_min,sc_active_co2_saved_robot_kg
206-3-000004,분당도서관 부설주차장,8830e02499fffff,구미1동,분당구,0.3418592734528097,하이브리드,14.416666666666666,5.282726731294087,32.065131330095994,9.13393993537258,63.35680880027223,2.7290199550289964,True,-17.64846466342933,False,264.655444595844,250.76361356424613,1244.265165628107,2012.0,True,0.6702100769392251,550131.3333333334,275065.6666666667,3300788.0,165039.40000000002,1507459.9665699294,25124.33277616549,43678575.78283135,43678.57578283135,43.67857578283135,332059.2728000001,205352.77637616344,-2912692.018973579,41385.87632447505,330078.80000000005,3014919.933139859,50248.66555233098,87357151.5656627,87357.1515656627,87.3571515656627,664118.5456000002,410705.5527523269,-5825384.037947158,82771.7526489501,660157.6000000001,6029839.866279718,100497.33110466196,174714303.1313254,174714.3031313254,174.7143031313254,1328237.0912000004,821411.1055046538,-11650768.075894317,165543.5052979002
206-3-000004,분당도서관 부설주차장,8830e024d1fffff,금곡동,분당구,0.3352825633228366,드론우선,13.833333333333334,4.965160644496925,37.06129422495263,8.86817268883641,64.10727244941982,2.7860797109687354,True,-23.227960891619297,False,259.14483188686347,242.5428272983254,939.476900544653,1930.0,True,0.6127280595049098,610682.0,203560.6666666667,2442728.0,122136.40000000001,1083126.6867927993,18052.111446546656,31651016.845266715,31651.016845266713,31.651016845266714,235723.25200000004,114744.32651568195,-2836979.5226431713,29623.30777203919,244272.80000000002,2166253.3735855985,36104.22289309331,63302033.69053343,63302.033690533426,63.30203369053343,471446.5040000001,229488.6530313639,-5673959.0452863425,59246.61554407838,488545.60000000003,4332506.747171197,72208.44578618662,126604067.38106686,126604.06738106685,126.60406738106686,942893.0080000001,458977.3060627278,-11347918.090572685,118493.23108815675
206-3-000004,분당도서관 부설주차장,8830e024d3fffff,금곡동,분당구,0.3352825633228366,하이브리드,13.933333333333334,4.55323088424989,30.91338301900383,9.380102449083443,67.32130944318261,3.0600981341689075,True,-16.980049685670497,False,283.1709780315629,272.1341748279932,498.85698030654567,2032.0,True,0.6359004914712474,610682.0,203560.6666666667,2442728.0,122136.40000000001,1145651.944762235,19094.199079370585,34585483.84125418,34585.48384125418,34.58548384125418,248181.1648,60928.59568951239,-2073882.1404289263,33237.488430461715,244272.80000000002,2291303.88952447,38188.39815874117,69170967.68250836,69170.96768250836,69.17096768250836,496362.3296,121857.19137902478,-4147764.2808578527,66474.97686092343,488545.60000000003,4582607.77904894,76376.79631748234,138341935.36501673,138341.93536501672,138.34193536501672,992724.6592,243714.38275804956,-8295528.561715705,132949.95372184686
206-3-000004,분당도서관 부설주차장,8830e024d7fffff,구미1동,분당구,0.3418592734528097,하이브리드,14.316666666666666,5.321316063681646,35.77262322033441,8.99535060298502,62.83131969488955,2.690437195486078,True,-21.455956553667743,False,306.1557228934919,289.6949863744161,1291.1658027623814,2306.0,True,0.6832145113958945,550131.3333333334,275065.6666666667,3300788.0,165039.40000000002,1484587.2663062862,24743.12110510477,50527756.81290817,50527.75681290817,50.52775681290817,380580.85640000005,213093.2293884218,-3541078.1960433926,47811.08673424181,330078.80000000005,2969174.5326125724,49486.24221020954,101055513.62581635,101055.51362581634,101.05551362581635,761161.7128000001,426186.4587768436,-7082156.392086785,95622.17346848363,660157.6000000001,5938349.065225145,98972.48442041907,202111027.2516327,202111.02725163268,202.1110272516327,1522323.4256000002,852372.9175536872,-14164312.78417357,191244.34693696725
206-3-000004,분당도서관 부설주차장,8830e024d9fffff,금곡동,분당구,0.3352825633228366,부적합,7.879829569518941,4.875393976735642,23.694663734449048,3.0044355927833,38.12817988354942,1.6162446783008382,True,-15.814834164930106,False,208.45102849197832,198.47927808278945,1195.2153893098282,1616.595653966226,True,0.5970100316466449,610682.0,203560.6666666667,2442728.0,122136.40000000001,366950.9473344183,6115.849122240305,25459458.196307663,25459.458196307663,25.459458196307665,197445.1734310806,145979.3048749009,-1931566.9115015697,24241.54449963081,244272.80000000002,733901.8946688366,12231.69824448061,50918916.392615326,50918.91639261533,50.91891639261533,394890.3468621612,291958.6097498018,-3863133.8230031393,48483.08899926162,488545.60000000003,1467803.7893376732,24463.39648896122,101837832.78523065,101837.83278523065,101.83783278523066,789780.6937243224,583917.2194996036,-7726267.646006279,96966.17799852324
206-3-000004,분당도서관 부설주차장,8830e024dbfffff,정자3동,분당구,0.2978596732733048,부적합,12.583333333333334,4.508223597550068,14.643511692465978,8.075109735783265,64.17305750291335,2.7911954811140185,True,-2.060178359132644,False,108.0817795110742,103.44931120484192,529.3375134043563,825.0,True,0.5127072806717069,391542.5833333333,78308.51666666666,939702.2,46985.11,379409.91919784766,6323.498653297461,5078234.299323568,5078.234299323568,5.078234299323568,38762.71575,24870.981294430156,-96797.7068234668,4860.57726638373,93970.22,758819.8383956953,12646.997306594922,10156468.598647136,10156.468598647136,10.156468598647136,77525.4315,49741.96258886031,-193595.4136469336,9721.15453276746,187940.44,1517639.6767913906,25293.994613189843,20312937.197294272,20312.93719729427,20.31293719729427,155050.863,99483.92517772062,-387190.8272938672,19442.30906553492
206-2-000022,운중동공영주차장,8830e02683fffff,판교동,분당구,0.2981632220459188,부적합,8.704055984402785,5.161642641402346,63.90594791052804,3.5424133430004394,40.69842093557601,1.686295737443384,True,-55.20189192612525,False,252.7341189768256,226.8035984279136,1454.9301052607073,1960.023326834494,True,0.5758912821093556,271805.3333333333,67951.33333333333,815416.0,40770.8,144427.02592480232,2407.1170987467053,10304172.217980362,10304.172217980362,10.304172217980362,79911.71905370378,59318.66433556325,-2250625.2953416673,9246.964150784781,81541.6,288854.05184960464,4814.234197493411,20608344.435960725,20608.344435960724,20.608344435960724,159823.43810740756,118637.3286711265,-4501250.5906833345,18493.928301569562,163083.2,577708.1036992093,9628.468394986821,41216688.87192145,41216.68887192145,41.21668887192145,319646.8762148151,237274.657342253,-9002501.181366669,36987.856603139124
206-2-000022,운중동공영주차장,8830e02689fffff,운중동,분당구,0.3436518582823575,부적합,7.659338138007569,4.798818685406892,75.15522912098818,2.860519452600677,37.34682293769037,1.5960882542404566,True,-67.49589098298061,False,196.60471801656408,158.79206781503245,1129.433237895506,1524.7242241698204,True,0.5503893072187408,440653.8333333333,55081.729166666664,660980.75,33049.0375,94537.41465847925,1575.6235776413207,6497596.698406352,6497.596698406352,6.497596698406352,50390.6680617468,37326.681432954996,-2230674.232192438,5247.92500392155,66098.075,189074.8293169585,3151.2471552826414,12995193.396812703,12995.193396812703,12.995193396812704,100781.3361234936,74653.36286590999,-4461348.464384876,10495.8500078431,132196.15,378149.658633917,6302.494310565283,25990386.793625407,25990.386793625406,25.990386793625408,201562.6722469872,149306.72573181998,-8922696.928769752,20991.7000156862
206-2-000022,운중동공영주차장,8830e0268bfffff,운중동,분당구,0.3436518582823575,부적합,14.483333333333333,4.807338050134643,27.962264217144792,9.67599528319869,66.80779251920845,3.012755329933098,True,-13.47893088381146,False,217.8016913971108,208.251407963574,735.9254043360985,1614.0,True,0.5633442389154231,440653.8333333333,55081.729166666664,660980.75,33049.0375,319782.3309642566,5329.705516070943,7198136.266546542,7198.136266546542,7.198136266546542,53341.146525,24321.62628510638,-445465.69223899307,6882.508591215955,66098.075,639564.6619285132,10659.411032141887,14396272.533093084,14396.272533093084,14.396272533093084,106682.29305,48643.25257021276,-890931.3844779861,13765.01718243191,132196.15,1279129.3238570264,21318.822064283773,28792545.066186167,28792.54506618617,28.792545066186168,213364.5861,97286.50514042552,-1781862.7689559723,27530.03436486382
206-2-000022,운중동공영주차장,8830e02691fffff,판교동,분당구,0.2981632220459188,부적합,8.590521276228243,5.122212749298163,29.63046285674015,3.4683085269300795,40.37366785328394,1.6771113767981038,True,-21.039941580511908,False,246.63425653068865,233.73254743701904,1415.2243741171797,1912.7171984284344,True,0.5618033730722237,271805.3333333333,67951.33333333333,815416.0,40770.8,141405.7132897609,2356.7618881626818,10055475.9461614,10055.475946161401,10.055475946161401,77983.01035368603,57699.82991225671,-857815.250190735,9529.462945045216,81541.6,282811.4265795218,4713.5237763253635,20110951.8923228,20110.951892322802,20.110951892322802,155966.02070737205,115399.65982451342,-1715630.50038147,19058.92589009043,163083.2,565622.8531590436,9427.047552650727,40221903.7846456,40221.903784645605,40.221903784645605,311932.0414147441,230799.31964902685,-3431261.00076294,38117.85178018086
