admi_cty_no,total_mer_cnt,delivery_mer_cnt,delivery_ratio,CSV_ADMI_CD,GU_NM,DONG_NM,Od_v2
41131510,20997,14931,0.7111015859408487,,,,0.24612462589210343
41131520,16427,8503,0.5176234248493334,,,,0.12280331517151408
41131530,23119,15790,0.6829880185129115,,,,0.26260455836083185
41131540,19124,11824,0.6182806944153942,,,,0.18651676770777378
41131550,16509,10402,0.6300805621176329,,,,0.1592356687898089
41131560,15769,10517,0.6669414674361088,,,,0.1614419461284629
41131561,8438,5026,0.5956387769613652,,,,0.05609699946281943
41131570,20385,14902,0.73102771645818,,,,0.24556826030235593
41131580,20163,12493,0.6196002578981302,,,,0.1993515463126391
41131590,12158,6795,0.5588912650106925,,,,0.09003530043741846
41131600,4830,2774,0.5743271221532091,,,,0.012892333665873687
41131610,8491,5246,0.6178306442115181,,,,0.06031770393676617
41131620,19234,13201,0.6863366954351668,,,,0.21293454071061316
41131625,65013,36101,0.5552889422115577,,,,0.6522715064077967
41131630,3918,2868,0.7320061255742726,,,,0.014695725577469112
41131640,14549,10242,0.7039659083098495,,,,0.15616606553602946
41131650,16231,11631,0.7165917072269115,,,,0.1828140587829023
41133510,78232,54226,0.6931434707025258,,,,1.0
41133525,13425,7942,0.5915828677839851,,,,0.11204051876294989
41133530,13865,8102,0.5843490804183195,,,,0.11511012201672934
41133540,30981,19105,0.6166682805590523,,,,0.3262029007750748
41133550,3833,2102,0.5483955126532742,,,,0.0
41133560,17655,11283,0.6390824129141887,,,,0.176137671705932
41133570,59140,36169,0.6115826851538722,,,,0.653576087790653
41133580,12742,8237,0.6464448281274525,,,,0.11770009976210574
41133590,14421,10146,0.7035573122529645,,,,0.15432430358376178
41133660,21975,13545,0.616382252559727,,,,0.21953418770623898
41133670,30914,16960,0.5486187487869574,,,,0.2850510321540941
41135510,11229,6506,0.5793926440466649,,,,0.08449082956027934
41135520,48681,27592,0.5667919722273577,,,,0.4890261683677385
41135530,11778,6403,0.543640686024792,,,,0.08251477246565882
41135540,13868,7125,0.5137727141620998,,,,0.09636635714833858
41135545,30721,20454,0.6657986393672081,,,,0.3520834932085028
41135550,81344,41344,0.5082612116443745,,,,0.7528585680300821
41135560,6086,2991,0.49145580019717383,,,,0.017055483078812064
41135570,10804,6397,0.5920955201777119,,,,0.08239966234364209
41135580,100700,48953,0.4861271102284012,,,,0.898837387767631
41135590,22305,11920,0.5344093252633939,,,,0.18835852966004143
41135600,16639,8599,0.5167978844882505,,,,0.12464507712378176
41135610,9843,4972,0.5051305496291781,,,,0.055061008364668866
41135620,50199,30966,0.6168648777864101,,,,0.5537564269818126
41135630,31892,18993,0.5955412015552489,,,,0.32405417849742923
41135640,11698,6039,0.5162420926654129,,,,0.07553142506331056
41135650,19685,11575,0.5880111760223521,,,,0.1817396976440795
41135655,60284,39240,0.6509189834782032,,,,0.7124932852428824
41135657,61740,26898,0.43566569484936835,,,,0.4757117642544701
41135662,40836,23277,0.5700117543344109,,,,0.40624280561737397
41135665,26721,16337,0.611391789229445,,,,0.27309876448469034
41135670,35512,21248,0.5983329578733949,,,,0.3673163993553833
41135680,33060,20027,0.6057773744706594,,,,0.3438914895249789
