target_h3_index,assigned_lot_id,assigned_lot_name,target_ADM_NM,target_GU_NM,Ds,delivery_zone,drone_time_min,route_mean_constraint_score,airspace_approval_required,drone_direct_feasible_strict,robot_handoff_feasible,scenario_id,route_explanation,time_saving_min,co2_saving_g
8830e15343fffff,206-3-000001,분당구청 부설주차장,백현동,분당구,0.4537636252138829,부적합,1.1742326270302463,0.5737169998505632,True,False,True,S001,거점→목적지: 분당구청 부설주차장 → 백현동 | 드론시간: 1.2분 | 관제권 승인필요 | 로봇인계가능,23.825767372969754,1072.1595317836388
8830e15345fffff,206-3-000001,분당구청 부설주차장,백현동,분당구,0.4537636252138829,부적합,1.0394144221145083,0.5832750017499718,True,False,True,S001,거점→목적지: 분당구청 부설주차장 → 백현동 | 드론시간: 1.0분 | 관제권 승인필요 | 로봇인계가능,23.960585577885492,1078.2263510048472
8830e15347fffff,206-3-000001,분당구청 부설주차장,백현동,분당구,0.4537636252138829,부적합,0.5045589006523008,0.5974970303922036,True,False,True,S001,거점→목적지: 분당구청 부설주차장 → 백현동 | 드론시간: 0.5분 | 관제권 승인필요 | 로봇인계가능,24.495441099347698,1102.2948494706463
8830e15351fffff,206-2-000004,맛고을,야탑3동,분당구,0.2899265421066042,부적합,1.2610165581401669,0.5573520646347476,True,False,True,S001,거점→목적지: 맛고을 → 야탑3동 | 드론시간: 1.3분 | 관제권 승인필요 | 로봇인계가능,23.738983441859833,1068.2542548836925
8830e15353fffff,206-2-000004,맛고을,이매1동,분당구,0.2805467112355271,부적합,1.329564966760464,0.5460539632859839,True,False,True,S001,거점→목적지: 맛고을 → 이매1동 | 드론시간: 1.3분 | 관제권 승인필요 | 로봇인계가능,23.670435033239535,1065.169576495779
8830e15359fffff,206-2-000004,맛고을,야탑2동,분당구,0.3576010326362412,부적합,0.784965650727176,0.5217848142059226,True,False,True,S001,거점→목적지: 맛고을 → 야탑2동 | 드론시간: 0.8분 | 관제권 승인필요 | 로봇인계가능,24.215034349272823,1089.6765457172771
8830e1535bfffff,206-2-000004,맛고을,야탑3동,분당구,0.2899265421066042,부적합,0.5257939266788153,0.527257272628542,True,False,True,S001,거점→목적지: 맛고을 → 야탑3동 | 드론시간: 0.5분 | 관제권 승인필요 | 로봇인계가능,24.474206073321184,1101.3392732994532
8830e15361fffff,206-3-000001,분당구청 부설주차장,정자동,분당구,0.4300143748335851,부적합,1.352906275709857,0.637225113029028,True,False,True,S001,거점→목적지: 분당구청 부설주차장 → 정자동 | 드론시간: 1.4분 | 관제권 승인필요 | 로봇인계가능,23.647093724290144,1064.1192175930564
8830e15363fffff,206-3-000001,분당구청 부설주차장,수내1동,분당구,0.8298987264166263,부적합,1.0282538863729522,0.5633076460649205,True,False,True,S001,거점→목적지: 분당구청 부설주차장 → 수내1동 | 드론시간: 1.0분 | 관제권 승인필요 | 로봇인계가능,23.97174611362705,1078.7285751132172
8830e15365fffff,206-3-000004,분당도서관 부설주차장,정자1동,분당구,0.6610120434351695,부적합,1.2811750607976555,0.5482324709626655,True,False,True,S001,거점→목적지: 분당도서관 부설주차장 → 정자1동 | 드론시간: 1.3분 | 관제권 승인필요 | 로봇인계가능,23.718824939202346,1067.3471222641056
8830e15367fffff,206-3-000004,분당도서관 부설주차장,정자동,분당구,0.4300143748335851,부적합,0.975939454227524,0.5303068154398521,True,False,True,S001,거점→목적지: 분당도서관 부설주차장 → 정자동 | 드론시간: 1.0분 | 관제권 승인필요 | 로봇인계가능,24.024060545772475,1081.0827245597613
8830e15369fffff,206-3-000001,분당구청 부설주차장,정자1동,분당구,0.6610120434351695,부적합,1.302040985494788,0.6386121821018101,True,False,True,S001,거점→목적지: 분당구청 부설주차장 → 정자1동 | 드론시간: 1.3분 | 관제권 승인필요 | 로봇인계가능,23.697959014505212,1066.4081556527346
8830e1536bfffff,206-3-000001,분당구청 부설주차장,수내1동,분당구,0.8298987264166263,부적합,0.6365504534246529,0.6340868432067244,True,False,True,S001,거점→목적지: 분당구청 부설주차장 → 수내1동 | 드론시간: 0.6분 | 관제권 승인필요 | 로봇인계가능,24.363449546575346,1096.3552295958905
8830e1c8b3fffff,204-2-000018,태평4동 제1,복정동,수정구,0.2465699214638441,부적합,1.4468251105308336,0.4923024649544812,True,False,True,S001,거점→목적지: 태평4동 제1 → 복정동 | 드론시간: 1.4분 | 관제권 승인필요 | 로봇인계가능,23.553174889469165,1059.8928700261124
8830e1c8b5fffff,204-2-000018,태평4동 제1,복정동,수정구,0.2465699214638441,부적합,1.242149368624423,0.5150058970919125,True,False,True,S001,거점→목적지: 태평4동 제1 → 복정동 | 드론시간: 1.2분 | 관제권 승인필요 | 로봇인계가능,23.757850631375575,1069.1032784119009
8830e1c8b7fffff,204-2-000018,태평4동 제1,태평4동,수정구,0.6775996391710029,부적합,0.7844308283266089,0.4693667926917616,True,False,True,S001,거점→목적지: 태평4동 제1 → 태평4동 | 드론시간: 0.8분 | 관제권 승인필요 | 로봇인계가능,24.21556917167339,1089.7006127253026
8830e1c9a5fffff,206-2-000022,운중동공영주차장,판교동,분당구,0.2981632220459188,부적합,1.3982960776876043,0.5964221045437395,True,False,True,S001,거점→목적지: 운중동공영주차장 → 판교동 | 드론시간: 1.4분 | 관제권 승인필요 | 로봇인계가능,23.601703922312396,1062.0766765040578
8830e1c9b3fffff,206-2-000004,맛고을,야탑1동,분당구,0.7196853984687459,부적합,0.9847468575244968,0.5951287036268079,True,False,True,S001,거점→목적지: 맛고을 → 야탑1동 | 드론시간: 1.0분 | 관제권 승인필요 | 로봇인계가능,24.015253142475505,1080.6863914113976
8830e1c9b7fffff,206-2-000004,맛고을,삼평동,분당구,0.458371381575248,부적합,1.3920506149305951,0.5034435949190378,True,False,True,S001,거점→목적지: 맛고을 → 삼평동 | 드론시간: 1.4분 | 관제권 승인필요 | 로봇인계가능,23.607949385069404,1062.3577223281231
