CSV_ADMI_CD,ADM_NM,GU_NM,Od,Fp,Cc,Tp,Ds,urgency,legacy_urgency,demand_b2b,demand_b2c,demand_cv,Ec,dong_nm,gu_nm,admi_cty_no,demand_score,demand_tier,demand_grade,demand_rank,demand_percentile,delivery_urgency,od_score,fp_score,cc_score,tp_score,Od_volume,Cc_volume,avg_monthly_del_cnt,delivery_cnt_per_km2,flow_pop_index,area_km2,delivery_demand_index
41135520,수내1동,분당구,1.0,0.7618966001824469,0.8725946944328697,0.4751726850853146,0.8298987264166263,0.8298987264166263,0.9348472236247279,1.0,1.0,0.5592827359524389,1.0,수내1동,분당구,41135520,0.8298987264166263,VERY_HIGH,A,50,100.0,0.9348472236247279,1.0,0.7618966001824469,0.8725946944328697,0.4751726850853146,0.7059611154236987,0.8945400568691427,1124919.4166666667,1101003.451292566,0.7221368472765917,1.0217219713035628,0.9297159195340108
41135620,야탑1동,분당구,0.8630267289942255,0.8809722372067536,0.5053073302701437,0.4737076763436179,0.7196853984687459,0.7196853984687459,0.9504773207424544,0.8676116981670075,0.8630267289942255,0.7994629546270111,0.8676116981670075,야탑1동,분당구,41135620,0.7196853984687459,VERY_HIGH,A,49,98.0,0.9504773207424544,0.8630267289942255,0.8809722372067536,0.5053073302701437,0.4737076763436179,0.6614793145377473,0.53398444194197,1057018.5833333333,918194.3643212867,0.8174726088619849,1.1511926280604685,0.8863802748738852
41131561,태평4동,수정구,0.9431611805337923,0.327285141222168,0.689776939972584,0.6215180379032506,0.6775996391710029,0.6775996391710029,0.3013537541724313,0.0403131487900191,0.9431611805337923,0.33538647092796037,0.0403131487900191,태평4동,수정구,41131561,0.6775996391710029,VERY_HIGH,A,48,96.0,0.3013537541724313,0.9431611805337923,0.327285141222168,0.689776939972584,0.6215180379032506,0.23445926682848922,0.4359857092911268,405178.5833333333,1002265.6791170179,0.37417301966961275,0.4042626538806457,0.34210591656574424
41135550,정자1동,분당구,0.7036987105425986,0.9664276557420641,0.39122880896468587,0.5020225237904835,0.6610120434351695,0.6610120434351695,0.9922171643922557,0.8869778705706505,0.7036987105425986,1.0,0.8869778705706505,정자1동,분당구,41135550,0.6610120434351695,VERY_HIGH,A,47,94.0,0.9922171643922557,0.7036987105425986,0.9664276557420641,0.39122880896468587,0.5020225237904835,0.6852749844229633,0.48240526380225934,1093342.3333333333,751038.8433477264,0.8858909487613493,1.455773350496497,0.894769215569581
41131530,신흥3동,수정구,0.9612032659288843,0.5267766241162426,0.4127336526000749,0.44454867329075964,0.6379810132478028,0.6379810132478028,0.6198673734749133,0.2183908337780689,0.9612032659288843,0.805024364524276,0.2183908337780689,신흥3동,수정구,41131530,0.6379810132478028,HIGH,A,46,92.0,0.6198673734749133,0.9612032659288843,0.5267766241162426,0.4127336526000749,0.44454867329075964,0.1838768519969495,0.11359377069797738,327965.25,1021194.1401182553,0.5338922781743881,0.3211585702616951,0.6477052721893249
41133510,성남동,중원구,0.47507418024040465,0.9034330070857294,0.226919234680114,0.427188470349096,0.5129422940779669,0.5129422940779669,0.9310519831566262,0.2732904698035837,0.47507418024040465,0.8809653921214009,0.2732904698035837,성남동,중원구,41133510,0.5129422940779669,HIGH,A,45,90.0,0.9310519831566262,0.47507418024040465,0.9034330070857294,0.226919234680114,0.427188470349096,0.6385227179084034,0.3934223899244911,1021975.6666666666,511182.3959922267,0.8354554192480366,1.9992387740250102,0.8492600902926786
41131560,태평3동,수정구,0.7251393565038079,0.4593244388233916,0.2638961728812283,0.373552496569579,0.49063680218792455,0.49063680218792455,0.34325088140837656,0.1085986176058414,0.7251393565038079,0.3209874272554018,0.1085986176058414,태평3동,수정구,41131560,0.49063680218792455,HIGH,A,44,88.0,0.34325088140837656,0.7251393565038079,0.4593244388233916,0.2638961728812283,0.373552496569579,0.1570878687940551,0.09188928352790515,287072.25,773532.830158613,0.47988790233233114,0.3711183789589587,0.32583398198037616
41131625,위례동,수정구,0.2782908015070536,0.9256580434689438,0.13553819609994108,0.6677953870318278,0.46287014847446417,0.46287014847446417,0.9392078901998647,0.1940006705962391,0.2782908015070536,0.5027392772583122,0.1940006705962391,위례동,수정구,41131625,0.46287014847446417,HIGH,A,43,86.0,0.9392078901998647,0.2782908015070536,0.9256580434689438,0.13553819609994108,0.6677953870318278,0.6006154408531564,0.3928670471392361,964110.75,304731.39942066406,0.8532494938615052,3.163805081566606,0.847949126410178
41135580,서현1동,분당구,0.24316358695664442,1.0,0.15687363990804848,0.5902633650522128,0.46286517016966955,0.46286517016966955,1.0,0.1579767405001072,0.24316358695664442,0.44758005471420387,0.1579767405001072,서현1동,분당구,41135580,0.46286517016966955,HIGH,A,42,84.0,1.0,0.24316358695664442,1.0,0.15687363990804848,0.5902633650522128,1.0,0.7882228166081148,2005009.9166666667,267878.4472181212,0.9351769011355311,7.484775044384509,0.881655226086415
41131510,신흥1동,수정구,0.6404342531307063,0.3197528874514579,0.24096410332967963,0.6507532783161127,0.4619442280384485,0.4619442280384485,0.26211415626166185,0.1165624096311647,0.6404342531307063,0.732008541207195,0.1165624096311647,신흥1동,수정구,41131510,0.4619442280384485,HIGH,A,41,82.0,0.26211415626166185,0.6404342531307063,0.3197528874514579,0.24096410332967963,0.6507532783161127,0.11371919111482032,0.060560172924650456,220870.58333333334,684666.315523908,0.3681424565113529,0.3225959541537,0.295359832284298
