kosha_moto_time_min,kosha_moto_dist_m,kosha_safe_rating,assigned_lot_id,target_h3_index,hub_lon,hub_lat,target_lon,target_lat,kosha_result_code,kosha_result_msg,kosha_success
24.33333333333333,2352.0,,204-2-000018,8830e15209fffff,127.143993,37.447105,127.14616358120144,37.43403435078751,00,NORMAL_CODE,1.0
20.133333333333333,1686.0,,204-2-000018,8830e15241fffff,127.143993,37.447105,127.13354605039136,37.43991995453398,00,NORMAL_CODE,1.0
16.65,1030.0,,204-2-000018,8830e15243fffff,127.143993,37.447105,127.14145178306713,37.44034521578544,00,NORMAL_CODE,1.0
22.05,2041.0,,204-2-000018,8830e15249fffff,127.143993,37.447105,127.12883372758104,37.44622945842601,00,NORMAL_CODE,1.0
17.733333333333334,1244.0,,204-2-000018,8830e1524bfffff,127.143993,37.447105,127.1367394967747,37.44665548313307,00,NORMAL_CODE,1.0
19.05,1514.0,,204-2-000018,8830e15251fffff,127.143993,37.447105,127.15255478932345,37.4475061399608,00,NORMAL_CODE,1.0
18.766666666666666,1428.0,,204-2-000018,8830e15255fffff,127.143993,37.447105,127.14935876688132,37.44077001284303,00,NORMAL_CODE,1.0
20.216666666666665,1713.0,,204-2-000018,8830e15257fffff,127.143993,37.447105,127.15726700182977,37.44119434546412,00,NORMAL_CODE,1.0
,,,204-2-000018,8830e15259fffff,127.143993,37.447105,127.1478420883633,37.45381733660726,REQUEST_ERROR,HTTPError: 500 Server Error: Internal Server Error,0.0
25.5,2697.0,,204-2-000018,8830e1525bfffff,127.143993,37.447105,127.15575164883666,37.454242731938216,00,NORMAL_CODE,1.0
11.633333333333333,97.0,,204-2-000018,8830e1525dfffff,127.143993,37.447105,127.14464651735686,37.447081043725554,00,NORMAL_CODE,1.0
,,,204-2-000018,8830e1c8b3fffff,127.143993,37.447105,127.14312889893718,37.46012793519896,REQUEST_ERROR,HTTPError: 500 Server Error: Internal Server Error,0.0
28.766666666666666,3257.0,,204-2-000018,8830e1c8b5fffff,127.143993,37.447105,127.13202672231206,37.4529651526259,00,NORMAL_CODE,1.0
21.23333333333333,1776.0,,204-2-000018,8830e1c8b7fffff,127.143993,37.447105,127.1399337795204,37.45339147675556,00,NORMAL_CODE,1.0
14.483333333333333,1926.0,,206-2-000004,8830e15229fffff,127.131784,37.411659,127.14448612654608,37.41425329276519,00,NORMAL_CODE,1.0
13.233333333333333,1583.0,,206-2-000004,8830e1522dfffff,127.131784,37.411659,127.14129299820154,37.40751919355961,00,NORMAL_CODE,1.0
14.2,1530.0,,206-2-000004,8830e15261fffff,127.131784,37.411659,127.13187259741149,37.420140523638906,00,NORMAL_CODE,1.0
15.733333333333333,2691.0,,206-2-000004,8830e15263fffff,127.131784,37.411659,127.13977571889367,37.42056442267307,00,NORMAL_CODE,1.0
12.316666666666666,848.0,,206-2-000004,8830e15265fffff,127.131784,37.411659,127.12868120690268,37.41340655748888,00,NORMAL_CODE,1.0
12.333333333333334,810.0,,206-2-000004,8830e15267fffff,127.131784,37.411659,127.13658304164883,37.41383015701872,00,NORMAL_CODE,1.0
14.716666666666669,2675.0,,206-2-000004,8830e1526dfffff,127.131784,37.411659,127.12397072633009,37.419716160900585,00,NORMAL_CODE,1.0
13.45,2264.0,,206-2-000004,8830e15351fffff,127.131784,37.411659,127.13020019343575,37.40036302352632,00,NORMAL_CODE,1.0
,,,206-2-000004,8830e15353fffff,127.131784,37.411659,127.13810070543082,37.40078556034605,REQUEST_ERROR,HTTPError: 500 Server Error: Internal Server Error,0.0
13.533333333333331,1686.0,,206-2-000004,8830e15359fffff,127.131784,37.411659,127.12549065156836,37.40667305729171,00,NORMAL_CODE,1.0
12.483333333333333,846.0,,206-2-000004,8830e1535bfffff,127.131784,37.411659,127.13339119993223,37.407096357235815,00,NORMAL_CODE,1.0
