scenario_id,lot_id,lot_name,hub_lat,hub_lon,target_h3_index,target_ADM_NM,target_GU_NM,target_lat,target_lon,scenario_h3_score,drone_time_min,time_saving_min,co2_saving_g,airspace_approval_required,drone_direct_feasible_strict,route_constraint_score,hub_rank
S001,206-2-000020,백현동카페거리공영주차장,37.38545,127.11199,8930e02692bffff,판교동,분당구,37.3828,127.0999,0.2566,1.11042,23.89,1075.0,True,False,0.77706,1
S001,206-2-000020,백현동카페거리공영주차장,37.38545,127.11199,8930e026927ffff,백현동,분당구,37.38671,127.10284,0.3639,0.82181,24.18,1088.1,True,False,0.78672,1
S001,206-2-000020,백현동카페거리공영주차장,37.38545,127.11199,8930e15346fffff,수내1동,분당구,37.38473,127.1184,0.553,0.57253,24.43,1099.3,True,False,0.81882,1
S001,206-2-000020,백현동카페거리공영주차장,37.38545,127.11199,8930e026937ffff,판교동,분당구,37.38845,127.10037,0.2536,1.08129,23.92,1076.4,True,False,0.80235,1
S001,206-2-000020,백현동카페거리공영주차장,37.38545,127.11199,8930e1534c7ffff,백현동,분당구,37.39344,127.10603,0.3691,1.0317,23.97,1078.6,True,False,0.75506,1
S001,206-2-000020,백현동카페거리공영주차장,37.38545,127.11199,8930e1530dbffff,수내1동,분당구,37.37908,127.11792,0.4868,0.88019,24.12,1085.4,True,False,0.83483,1
S001,206-2-000020,백현동카페거리공영주차장,37.38545,127.11199,8930e1536afffff,수내1동,분당구,37.378,127.11521,0.4753,0.87437,24.13,1085.8,True,False,0.83257,1
S001,206-2-000020,백현동카페거리공영주차장,37.38545,127.11199,8930e153433ffff,백현동,분당구,37.39495,127.11664,0.2601,1.13098,23.87,1074.2,True,False,0.69476,1
S001,206-2-000020,백현동카페거리공영주차장,37.38545,127.11199,8930e026923ffff,판교동,분당구,37.38563,127.10013,0.256,1.04999,23.95,1077.8,True,False,0.79751,1
S001,206-2-000020,백현동카페거리공영주차장,37.38545,127.11199,8930e153617ffff,정자1동,분당구,37.37584,127.10979,0.4693,1.08454,23.92,1076.4,True,False,0.8555,1
S001,206-2-000020,백현동카페거리공영주차장,37.38545,127.11199,8930e153407ffff,백현동,분당구,37.39387,127.11393,0.2751,0.94903,24.05,1082.2,True,False,0.70949,1
S001,206-2-000020,백현동카페거리공영주차장,37.38545,127.11199,8930e1536a7ffff,수내1동,분당구,37.38083,127.11545,0.5768,0.59753,24.4,1098.0,True,False,0.83611,1
S001,206-2-000020,백현동카페거리공영주차장,37.38545,127.11199,8930e153473ffff,백현동,분당구,37.38822,127.11345,0.2533,0.33274,24.67,1110.2,True,False,0.73628,1
S001,206-2-000020,백현동카페거리공영주차장,37.38545,127.11199,8930e15309bffff,서현1동,분당구,37.38582,127.12111,0.3681,0.80798,24.19,1088.5,True,False,0.83265,1
S001,206-2-000020,백현동카페거리공영주차장,37.38545,127.11199,8930e153417ffff,백현동,분당구,37.39561,127.11145,0.3149,1.12774,23.87,1074.2,True,False,0.7213,1
S001,206-2-000020,백현동카페거리공영주차장,37.38545,127.11199,8930e153477ffff,백현동,분당구,37.3893,127.11616,0.2677,0.56424,24.44,1099.8,True,False,0.74459,1
S001,206-2-000020,백현동카페거리공영주차장,37.38545,127.11199,8930e1534cfffff,백현동,분당구,37.39062,127.10579,0.3511,0.79353,24.21,1089.5,True,False,0.75043,1
S001,206-2-000020,백현동카페거리공영주차장,37.38545,127.11199,8930e1530c7ffff,서현1동,분당구,37.38125,127.12334,0.3016,1.10786,23.89,1075.0,True,False,0.81846,1
S001,206-2-000020,백현동카페거리공영주차장,37.38545,127.11199,8930e15308bffff,서현1동,분당구,37.38407,127.12358,0.3013,1.03731,23.96,1078.2,True,False,0.82599,1
S001,206-2-000020,백현동카페거리공영주차장,37.38545,127.11199,8930e1536b7ffff,수내1동,분당구,37.38257,127.11297,0.5964,0.33163,24.67,1110.2,True,False,0.81079,1
S001,206-2-000020,백현동카페거리공영주차장,37.38545,127.11199,8930e153637ffff,수내1동,분당구,37.37626,127.11768,0.4369,1.1376,23.86,1073.7,True,False,0.7924,1
S001,206-2-000020,백현동카페거리공영주차장,37.38545,127.11199,8930e153693ffff,판교동,분당구,37.38106,127.10237,0.2433,0.98133,24.02,1080.9,True,False,0.77936,1
S001,206-2-000020,백현동카페거리공영주차장,37.38545,127.11199,8930e153093ffff,서현1동,분당구,37.38864,127.12135,0.3359,0.9004,24.1,1084.5,True,False,0.80403,1
S001,206-2-000020,백현동카페거리공영주차장,37.38545,127.11199,8930e15344bffff,백현동,분당구,37.38323,127.10779,0.3238,0.44647,24.55,1104.8,True,False,0.76613,1
S001,206-2-000020,백현동카페거리공영주차장,37.38545,127.11199,8930e153453ffff,백현동,분당구,37.38779,127.10556,0.3186,0.6263,24.37,1096.7,True,False,0.73975,1
S001,206-2-000020,백현동카페거리공영주차장,37.38545,127.11199,8930e153457ffff,백현동,분당구,37.38888,127.10827,0.2645,0.50313,24.5,1102.5,True,False,0.72855,1
S001,206-2-000020,백현동카페거리공영주차장,37.38545,127.11199,8930e1536bbffff,수내1동,분당구,37.37866,127.11003,0.5905,0.77334,24.23,1090.3,True,False,0.8353,1
S001,206-2-000009,금곡동,37.35086,127.10686,8930e024dafffff,정자3동,분당구,37.35823,127.11354,0.2429,1.0092,23.99,1079.5,False,True,0.66363,2
S001,206-2-000009,금곡동,37.35086,127.10686,8930e0248b3ffff,구미동,분당구,37.34195,127.10694,0.2749,0.98911,24.01,1080.5,False,True,0.73674,2
S001,206-2-000009,금곡동,37.35086,127.10686,8930e0248b7ffff,구미동,분당구,37.34303,127.10965,0.27,0.90344,24.1,1084.5,False,True,0.76394,2
S001,206-2-000009,금곡동,37.35086,127.10686,8930e024dcfffff,금곡동,분당구,37.35108,127.10247,0.3378,0.38984,24.61,1107.5,False,True,0.72603,2
S001,206-2-000009,금곡동,37.35086,127.10686,8930e024d57ffff,구미1동,분당구,37.34934,127.10494,0.3033,0.23996,24.76,1114.2,False,True,0.67636,2
S001,206-2-000009,금곡동,37.35086,127.10686,8930e024d07ffff,금곡동,분당구,37.35432,127.1106,0.2467,0.50692,24.49,1102.0,False,True,0.61168,2
S001,206-2-000009,금곡동,37.35086,127.10686,8930e024dabffff,정자동,분당구,37.35715,127.11083,0.342,0.78116,24.22,1089.9,False,True,0.63166,2
S001,206-2-000009,금곡동,37.35086,127.10686,8930e024c37ffff,금곡동,분당구,37.34892,127.09705,0.3062,0.89534,24.1,1084.5,False,True,0.75349,2
S001,206-2-000009,금곡동,37.35086,127.10686,8930e026b6fffff,금곡동,분당구,37.35739,127.09776,0.318,1.08333,23.92,1076.4,False,True,0.74145,2
S001,206-2-000009,금곡동,37.35086,127.10686,8930e024d37ffff,정자3동,분당구,37.35649,127.11602,0.2547,1.02317,23.98,1079.1,False,True,0.64905,2
S001,206-2-000009,금곡동,37.35086,127.10686,8930e024d1bffff,금곡동,분당구,37.35216,127.10518,0.2669,0.20741,24.79,1115.5,False,True,0.66282,2
S001,206-2-000009,금곡동,37.35086,127.10686,8930e024d2fffff,구미1동,분당구,37.35192,127.11825,0.3036,1.01549,23.98,1079.1,False,True,0.67037,2
S001,206-2-000009,금곡동,37.35086,127.10686,8930e024d0bffff,금곡동,분당구,37.35042,127.10765,0.2673,0.08536,24.91,1121.0,False,True,0.66321,2
S001,206-2-000009,금곡동,37.35086,127.10686,8930e024c27ffff,금곡동,분당구,37.34717,127.09952,0.2988,0.76808,24.23,1090.3,False,True,0.74134,2
S001,206-2-000009,금곡동,37.35086,127.10686,8930e024dd7ffff,금곡동,분당구,37.35565,127.10023,0.3332,0.79133,24.21,1089.5,False,True,0.7379,2
S001,206-2-000009,금곡동,37.35086,127.10686,8930e024d6bffff,구미동,분당구,37.34411,127.11235,0.2823,0.89331,24.11,1085.0,False,True,0.75224,2
S001,206-2-000009,금곡동,37.35086,127.10686,8930e024d67ffff,구미1동,분당구,37.34801,127.1153,0.2867,0.8116,24.19,1088.5,False,True,0.67409,2
S001,206-2-000009,금곡동,37.35086,127.10686,8930e024d47ffff,구미1동,분당구,37.34759,127.10741,0.3118,0.36575,24.63,1108.3,False,True,0.6987,2
S001,206-2-000009,금곡동,37.35086,127.10686,8930e024d63ffff,구미1동,분당구,37.34693,127.11259,0.2799,0.66906,24.33,1094.8,False,True,0.69467,2
S001,206-2-000009,금곡동,37.35086,127.10686,8930e024d03ffff,금곡동,분당구,37.35324,127.10789,0.2463,0.2793,24.72,1112.4,False,True,0.64037,2
S001,206-2-000009,금곡동,37.35086,127.10686,8930e024c2fffff,구미1동,분당구,37.34435,127.09928,0.3099,0.98601,24.01,1080.5,False,True,0.74373,2
S001,206-2-000009,금곡동,37.35086,127.10686,8930e024887ffff,구미동,분당구,37.34087,127.10423,0.2562,1.13332,23.87,1074.2,False,True,0.74534,2
S001,206-2-000009,금곡동,37.35086,127.10686,8930e024d5bffff,구미1동,분당구,37.34543,127.10199,0.3208,0.74083,24.26,1091.7,False,True,0.75678,2
S001,206-2-000009,금곡동,37.35086,127.10686,8930e024d27ffff,정자3동,분당구,37.35474,127.11849,0.2695,1.11621,23.88,1074.6,False,True,0.66983,2
S001,206-2-000009,금곡동,37.35086,127.10686,8930e024d43ffff,구미1동,분당구,37.34651,127.1047,0.3166,0.51898,24.48,1101.6,False,True,0.71054,2
