scenario_key,layer_key,demand_key,hub_rank,facility_index,facility_id,hub_name,facility,capacity,idle_score,lat,lon,new_hotspot_cells,cumulative_hotspot_cells,cumulative_coverage_pct,layer_label,demand_label
A0O0N0R0W1__B0C1D1,A0O0N0R0W1,B0C1D1,4,165,206-3-000002,도서관사업소,주차장,324,1.0,37.403967,127.134723,12,48,3.28,기상,소비력지수 + 상권활력지수
A0O0N0R0W1__B0C1D1,A0O0N0R0W1,B0C1D1,5,166,206-3-000003,서현도서관 부설주차장,주차장,180,1.0,37.383542,127.13244,11,59,4.04,기상,소비력지수 + 상권활력지수
A0O0N0R0W1__B0C1D1,A0O0N0R0W1,B0C1D1,6,145,206-2-000007,정자역환승,주차장,208,1.0,37.365753,127.107329,11,70,4.79,기상,소비력지수 + 상권활력지수
A0O0N0R0W1__B0C1D1,A0O0N0R0W1,B0C1D1,7,168,206-3-000005,판교도서관,주차장,95,1.0,37.391898,127.090871,11,81,5.54,기상,소비력지수 + 상권활력지수
A0O0N0R0W1__B0C1D1,A0O0N0R0W1,B0C1D1,8,170,206-3-000007,구미도서관,주차장,71,1.0,37.345532,127.107689,11,92,6.29,기상,소비력지수 + 상권활력지수
A0O0N0R0W1__B0C1D1,A0O0N0R0W1,B0C1D1,9,158,206-2-000022,운중동공영주차장,주차장,235,1.0,37.390875,127.0779,11,103,7.05,기상,소비력지수 + 상권활력지수
A0O0N0R0W1__B0C1D1,A0O0N0R0W1,B0C1D1,10,161,205-3-000001,성남시청 부설주차장,주차장,1184,1.0,37.420178,127.12628,11,114,7.8,기상,소비력지수 + 상권활력지수
A0O0N0R0W1__B1C0D0,A0O0N0R0W1,B1C0D0,1,39,205-1-000040,중상41,주차장,17,0.9709680031323588,37.431318,127.169267,13,13,0.91,기상,기업수요지수
A0O0N0R0W1__B1C0D0,A0O0N0R0W1,B1C0D0,2,169,206-3-000006,판교어린이도서관,주차장,70,1.0,37.387525,127.107668,12,25,1.76,기상,기업수요지수
A0O0N0R0W1__B1C0D0,A0O0N0R0W1,B1C0D0,3,166,206-3-000003,서현도서관 부설주차장,주차장,180,1.0,37.383542,127.13244,11,36,2.53,기상,기업수요지수
A0O0N0R0W1__B1C0D0,A0O0N0R0W1,B1C0D0,4,170,206-3-000007,구미도서관,주차장,71,1.0,37.345532,127.107689,11,47,3.31,기상,기업수요지수
A0O0N0R0W1__B1C0D0,A0O0N0R0W1,B1C0D0,5,75,204-2-000010,복정 제3공영,주차장,284,1.0,37.461738,127.127224,11,58,4.08,기상,기업수요지수
A0O0N0R0W1__B1C0D0,A0O0N0R0W1,B1C0D0,6,158,206-2-000022,운중동공영주차장,주차장,235,1.0,37.390875,127.0779,11,69,4.86,기상,기업수요지수
A0O0N0R0W1__B1C0D0,A0O0N0R0W1,B1C0D0,7,168,206-3-000005,판교도서관,주차장,95,1.0,37.391898,127.090871,11,80,5.63,기상,기업수요지수
A0O0N0R0W1__B1C0D0,A0O0N0R0W1,B1C0D0,8,127,205-2-000021,상대원 제1,주차장,234,1.0,37.438909,127.168461,10,90,6.33,기상,기업수요지수
