id,name,type,subtype,address,capacity,facility,avg_monthly_entries,idle_score,lat,lon
205-1-000047,중상50,공영,노상,경기도 성남시 중원구 둔촌대로225,18,주차장,545.3055555555555,0.9782254477531648,37.428469,127.143157
205-1-000048,중상57-58,공영,노상,경기도 성남시 중원구 둔촌대로258,15,주차장,776.6666666666666,0.9689869858478166,37.428811,127.148061
205-1-000049,중상66,공영,노상,경기도 성남시 중원구 둔촌대로125,8,주차장,,1.0,37.429119,127.132692
205-1-000050,중상67,공영,노상,경기도 성남시 중원구 둔촌대로120,13,주차장,980.8333333333334,0.9608344231146783,37.428871,127.132021
205-1-000051,중상68-69,공영,노상,경기도 성남시 중원구 둔촌대로140,19,주차장,1239.5,0.9505056252682859,37.428685,127.134309
205-1-000052,중상70-71,공영,노상,경기도 성남시 중원구 산성대로586,14,주차장,,1.0,37.461744,127.168526
205-1-000053,중상70-1,공영,노상,경기도 성남시 중원구 산성대로494,18,주차장,1377.888888888889,0.9449796296850892,37.455309,127.162341
205-1-000054,중상70-2,공영,노상,경기도 성남시 중원구 산성대로500,22,주차장,1692.0277777777776,0.9324357749981421,37.455716,127.16269
205-1-000055,중상70-4-5,공영,노상,경기도 성남시 중원구 산성대로540,10,주차장,,1.0,37.458714,127.165251
205-1-000056,중상70-6,공영,노상,경기도 성남시 중원구 산성대로550,14,주차장,1132.5555555555554,0.9547760152713584,37.459434,127.16589
205-1-000057,중상70-7-8,공영,노상,경기도 성남시 중원구 산성대로570,14,주차장,,1.0,37.460791,127.167258
205-1-000058,중상44-46,공영,노상,경기도 성남시 중원구 둔촌대로331,19,주차장,602.5,0.9759416209956775,37.43101,127.154592
205-1-000059,중상60-63,공영,노상,경기도 성남시 중원구 둔촌대로352,14,주차장,,1.0,37.431331,127.157281
205-1-000060,중상65,공영,노상,경기도 성남시 중원구 둔촌대로 135번길,12,주차장,684.9166666666666,0.9726506477127902,37.429041,127.133821
205-1-000061,중상51-53,공영,노상,경기도 성남시 중원구 둔촌대로 183번길,29,주차장,593.5,0.9763009992712607,37.429431,127.139451
205-1-000062,중상43,공영,노상,경기도 성남시 중원구 둔촌대로 365-379번길,20,주차장,611.25,0.9755922254499716,37.432441,127.157391
205-1-000063,모란1,공영,노상,,15,주차장,1285.3333333333333,0.9486754581241119,37.429931,127.126631
205-1-000064,모란2,공영,노상,,24,주차장,1219.5277777777778,0.9513031344662622,37.429731,127.125431
205-1-000065,모란4,공영,노상,,25,주차장,1575.1666666666667,0.9371021466196813,37.429531,127.125711
205-1-000066,모란5,공영,노상,,13,주차장,763.8888888888888,0.9694972142637681,37.429511,127.125491
204-2-000001,논골공영,공영,노외,경기도 성남시 수정구 수정로 460,124,주차장,162.5,0.993511225579747,37.461663,127.155973
204-2-000002,단대 제1,공영,노외,경기도 성남시 수정구 논골로 54,151,주차장,,1.0,37.458695,127.158636
204-2-000003,희망로,공영,노외,경기도 성남시 수정구 희망로 506번길 21,57,주차장,,1.0,37.449645,127.155665
204-2-000004,양지 제1,공영,노외,경기도 성남시 수정구 논골로 40,192,주차장,,1.0,37.457606,127.159098
204-2-000005,양지 제2,공영,노외,경기도 성남시 수정구 양지로 4,110,주차장,,1.0,37.4554,127.160857
204-2-000006,산성동 제1,공영,노외,경기도 성남시 수정구 희망로534번길 14,109,주차장,,1.0,37.451632,127.152324
204-2-000007,단대 공원,공영,노외,경기도 성남시 수정구 수정로456번길 61,147,주차장,,1.0,37.457055,127.155486
204-2-000008,산성동 제2,공영,노외,,116,주차장,,1.0,37.453617,127.15389
204-2-000009,산성역 환승,공영,노외,경기도 성남시 수정구 수정로366번길 7,225,주차장,,1.0,37.456662,127.15072
204-2-000010,복정 제3공영,공영,노외,경기도 성남시 수정구 복정로 98,284,주차장,,1.0,37.461738,127.127224
204-2-000011,복정 제4공영,공영,노외,경기도 성남시 수정구 복정로20번길 16,196,주차장,,1.0,37.454669,127.129084
204-2-000012,복정 제5공영,공영,노외,경기도 성남시 수정구 복정로 55,220,주차장,,1.0,37.456592,127.126801
204-2-000013,수정,공영,노외,경기도 성남시 수정구 수정로279번길 3,71,주차장,,1.0,37.449712,127.145716
204-2-000014,신흥 제1,공영,노외,경기도 성남시 수정구 탄리로 16,66,주차장,,1.0,37.438821,127.139525
204-2-000016,신흥 3동,공영,노외,경기도 성남시 수정구 공원로333번길 3,71,주차장,,1.0,37.442757,127.150995
204-2-000017,신흥 제7,공영,노외,경기도 성남시 수정구 수정남로 85,276,주차장,,1.0,37.44179956,127.136976
204-2-000018,태평4동 제1,공영,노외,경기도 성남시 수정구 공원로 411,97,주차장,,1.0,37.447105,127.143993
204-2-000019,태평,공영,노외,경기도 성남시 수정구 남문로52번길 9-9,135,주차장,,1.0,37.445114,127.133235
204-2-000020,태평동 제1,공영,노외,경기도 성남시 수정구 제일로 236,119,주차장,,1.0,37.44718,127.129216
204-2-000021,태평2동 제1,공영,노외,경기도 성남시 수정구 남문로 102,89,주차장,,1.0,37.44707,127.13798
204-2-000022,태평4동제3,공영,노외,경기도 성남시 수정구 남문로 112,163,주차장,,1.0,37.447347,127.140558
204-2-000023,아래숯골,공영,노외,경기도 성남시 수정구 성남대로 1259,150,주차장,,1.0,37.442288,127.126662
