admi_cty_no,hour,total_del_amt,total_del_cnt,hour_ratio
41131610,9,7308655346,551793,0.10846920556268366
41131610,10,1545180184,139294,0.022932325999119752
41131620,1,7007640066,768891,0.04840507906067657
41131620,2,5140895930,808228,0.03551059580552955
41131620,3,12245218609,1479178,0.08458350732934362
41131620,4,26467347580,2969516,0.18282246805915028
41131620,5,21990847671,2286088,0.15190116930957828
41131620,6,15269310436,1609313,0.10547233760515945
41131620,7,20800040826,1948999,0.14367570411225947
41131620,8,20380065677,1631652,0.14077473743882868
41131620,9,12143908245,1107838,0.08388370880474771
41131620,10,3325484599,362378,0.022970692474726388
41131625,1,13731006102,1026565,0.022695691283433583
41131625,2,8743464050,1084735,0.014451887891718009
41131625,3,35066457227,2664871,0.05796060985740872
41131625,4,91171621020,5477430,0.15069565544645214
41131625,5,96300349133,5493005,0.15917282230987378
41131625,6,80959530455,5142445,0.13381630566683578
41131625,7,106616402902,5975882,0.17622401068349364
41131625,8,114128050502,5342041,0.18863985506467945
41131625,9,49330940574,2689306,0.08153807446242674
41131625,10,8957151469,583477,0.01480508733367815
41131630,1,633954732,74412,0.02146633388596444
41131630,2,810900606,108095,0.027457896089537984
41131630,3,1044625723,110380,0.035372059587032156
41131630,4,6953953126,302441,0.23546772678725292
41131630,5,6293993386,241123,0.21312083762461428
41131630,6,3382792884,168235,0.11454471092268553
41131630,7,4549065969,202391,0.1540358704347243
41131630,8,4539082910,169235,0.15369783418879043
41131630,9,1123400404,81091,0.03803944815399113
41131630,10,200740812,21245,0.0067972823254068195
41131640,1,2102484886,235682,0.0133287332958605
41131640,2,2817762712,407724,0.017863247402801343
41131640,3,7122115501,602306,0.04515075406594047
41131640,4,28982771766,1414267,0.18373670013807167
41131640,5,32910841192,1252717,0.20863875298772905
41131640,6,19733627407,986712,0.12510161591134794
41131640,7,26213750286,1330126,0.16618244847938513
41131640,8,27924877903,1161035,0.17703016671700117
41131640,9,8705803243,556627,0.05519056537569061
41131640,10,1226752569,119091,0.0077770156261721185
41131650,1,4617662739,317006,0.021557615448405412
41131650,2,8888603867,1009832,0.04149655677960835
41131650,3,15804101669,1084432,0.0737816435596996
41131650,4,60938202333,3214492,0.2844907491655457
41131650,5,43919077268,1998963,0.2050367538962762
41131650,6,20726946131,1197897,0.09676400364585232
41131650,7,26508869073,1265913,0.12375698221122539
41131650,8,26912315401,1008997,0.12564047636934977
41131650,9,5253182586,310388,0.024524547692231946
41131650,10,632036722,72286,0.002950671231805333
41133510,1,54034296348,3209673,0.08640985506915161
41133510,2,14043569243,1579002,0.02245801028157816
41133510,3,31564340543,2348494,0.05047664679684368
41133510,4,65272303032,4193998,0.10438130273225309
41133510,5,75432861136,4606020,0.12062973035188713
41133510,6,68133651485,4568468,0.10895707630268514
41133510,7,90736441129,5784069,0.14510270804586323
41133510,8,119596443440,5760494,0.1912546668116073
41133510,9,81814791573,3978302,0.13083550189688828
41133510,10,24696923839,1247092,0.03949450171124241
41133525,1,4047393857,396246,0.05276776492903741
41133525,2,1802428212,223481,0.023499098815843562
41133525,3,3808845274,340207,0.04965769558648295
41133525,4,7092912571,522410,0.0924736154751599
41133525,5,8217148255,577583,0.10713080140618743
41133525,6,9217865684,652205,0.12017762213072229
41133525,7,13923066521,888463,0.1815215240297971
41133525,8,16730526533,869386,0.2181236920408676
41133525,9,9805200678,604048,0.12783498289001385
41133525,10,2056626655,160677,0.026813202695887897
41133530,1,3797317987,335544,0.024747498544110017
41133530,2,3962753196,321280,0.025825656235377404
41133530,3,11715119584,666252,0.07634859810046105
41133530,4,19743021500,1103316,0.12866723237302138
41133530,5,21910025605,1162486,0.1427898133939318
41133530,6,22578523595,1226207,0.14714648120287016
41133530,7,28238219584,1578430,0.18403128219330214
41133530,8,26972428348,1393298,0.17578199496550137
41133530,9,12222059161,748353,0.07965237368278213
41133530,10,2303029082,180957,0.015009069308642556
41133540,1,6228518722,677031,0.03670782376180564
41133540,2,3853172944,570102,0.022708704856664923
41133540,3,8816384796,889518,0.05195943269219426
41133540,4,19837293322,1579162,0.11691124321472658
41133540,5,20549374229,1570053,0.12110789760479469
41133540,6,20311156579,1605794,0.11970396002293195
41133540,7,31925439527,2326531,0.18815282733853517
41133540,8,34042307363,2207731,0.20062860447258404
41133540,9,20352063276,1280293,0.11994504396137301
41133540,10,3762523572,321079,0.02217446207438974
41133550,1,1050567897,125884,0.04369211407703613
41133550,2,795378181,98475,0.033079017851082776
41133550,3,1419306125,124084,0.05902758431969876
41133550,4,2431476346,193940,0.10112277577528811
41133550,5,2738689691,195777,0.11389948497614794
41133550,6,3162257674,239618,0.13151527229028867
41133550,7,4536245113,387604,0.18865809580186862
41133550,8,4478636140,377558,0.1862621937118042
41133550,9,2801534583,263550,0.11651314392980909
41133550,10,630702584,67076,0.026230317266975712
41133560,1,5768488282,617243,0.028881535877334316
41133560,2,3870176974,452205,0.019377114013562652
41133560,3,14455022085,1019848,0.07237307567362193
41133560,4,26579053977,1688157,0.13307540268698959
41133560,5,29808637657,1773997,0.1492452087718576
41133560,6,31564124962,2010538,0.15803454266714703
41133560,7,37872622034,2424583,0.1896197822671928
41133560,8,31902417738,1848328,0.1597282992406976
41133560,9,14750739524,996357,0.07385366701861652
41133560,10,3157993856,257223,0.015811371782979956
41133570,1,7676177246,845965,0.04160186954014772
41133570,2,13413140074,2215780,0.07269395763015388
41133570,3,13069715399,1452102,0.07083273060681194
41133570,4,43379217876,4171882,0.2350983445270742
41133570,5,23389005678,2078994,0.12675923597217184
41133570,6,17467793862,1637650,0.09466859064253517
41133570,7,26250086245,2270671,0.14226517032956434
41133570,8,24788231051,1632140,0.13434248861985446
41133570,9,12199585666,953202,0.06611696877964301
41133570,10,2882246120,273268,0.01562064335204343
41133580,1,2425099545,204585,0.055827043602261664
41133580,2,1813869977,217763,0.041756223369714233
41133580,3,1855760919,191708,0.04272057448280383
41133580,4,6390074531,449631,0.14710281489242485
41133580,5,5469815539,355065,0.12591797776782865
41133580,6,4052624942,303954,0.09329351853086391
41133580,7,7058831358,414804,0.162497942328416
41133580,8,8827823134,393941,0.20322104634054194
41133580,9,4437002268,229861,0.10214208302899577
41133580,10,1108610047,66300,0.025520775656149138
41133590,1,5226939761,406497,0.05804763282539276
41133590,2,2319089838,275950,0.02575458711228174
41133590,3,5184509500,400728,0.057576424752632735
41133590,4,9278987743,639876,0.1030475379716135
41133590,5,10149995152,678552,0.11272048630805191
41133590,6,12033282475,811400,0.13363528082049259
41133590,7,17325584835,1148054,0.19240879615472442
41133590,8,17405521364,992251,0.1932965290341714
41133590,9,8869055334,549681,0.0984950451079291
41133590,10,2252734513,153131,0.025017679912709822
41133660,1,4073533181,393647,0.025790293391135036
41133660,2,5055574756,384619,0.03200778057392628
41133660,3,12124534537,572124,0.07676267481965543
41133660,4,22979714421,1004789,0.14548883012083333
41133660,5,23999939853,996024,0.1519480663777277
41133660,6,23251164687,1058655,0.14720743205438208
41133660,7,28921192281,1361256,0.18310542740327318
41133660,8,25916771944,1144605,0.16408388553320025
41133660,9,10267631842,628437,0.06500627977512484
41133660,10,1358249608,137460,0.008599329950741882
41133670,1,9196633598,480944,0.047679250127469694
41133670,2,6735672503,634443,0.034920583779384014
41133670,3,13599523220,1077855,0.07050569779812946
41133670,4,35804866697,2261058,0.18562761871890035
41133670,5,28098545066,1850517,0.14567477807435353
41133670,6,23835471404,1740846,0.12357319565548568
41133670,7,31392706413,2128282,0.1627531080034715
41133670,8,29574217819,1878793,0.1533252916613991
41133670,9,12470149464,1017154,0.0646505451244996
41133670,10,2177663428,230846,0.011289931056907057
41135510,1,2361249000,319610,0.03680217912491051
41135510,2,1581341360,241304,0.02464662049125255
41135510,3,3608853747,373181,0.05624721578821144
41135510,4,7736933901,583070,0.12058703986838941
41135510,5,9132391061,622619,0.14233648872509994
41135510,6,8263228170,665092,0.12878980711578764
41135510,7,10569966538,805957,0.16474238925068307
41135510,8,11777125287,827182,0.18355703883355254
41135510,9,7441837622,671646,0.11598770023125136
41135510,10,1687649023,188677,0.02630352057086153
41135520,1,52011583116,1397930,0.03392818333325388
